Model type,Trial,F1_macro_validation_set,Precision validation set,recall validation set,roc_auc validation set,accuracy validation set,mcc validation set,Batch size,Learning rate,Protein layers,Compound layers,Final head layers,Epochs,batch_norm,dropout,best epoch
gat,0,0.7071428571428571,0.895117540687161,0.5844155844155844,0.8878791251766538,0.8594928032899246,0.6443893873672435,16,0.0001430528340392,"[2560, 1280]","[2560, 1280, 640]","[1280, 640]",115,False,0.0460524699725375,6
gat,1,0.6927292656192912,0.9089165867689356,0.5596221959858324,0.8863129704236328,0.8558944482522276,0.6358233673355103,64,0.0005245835639159,"[2560, 1280]","[2560, 1280, 640]","[2560, 1280]",151,True,0.3124517510477999,2
gat,2,0.7113364722926476,0.9203373945641988,0.5796930342384888,0.8938825758763426,0.8634338588074023,0.6566152180540451,64,0.0048942592286305,"[2560, 1280, 640]",[1280],"[2560, 640]",154,False,0.2965884582811106,11
gat,3,0.6978785662033651,0.9173076923076924,0.5631641086186541,0.8949721429968125,0.8584647018505825,0.6433186306055468,16,0.0005482647324817,"[1280, 640]","[2560, 640]","[2560, 1280, 640]",135,False,0.1287710320770415,6
gat,4,0.7325982081323226,0.8799668874172185,0.627508854781582,0.912846815841636,0.8670322138450994,0.6637753863620076,64,8.351305050092099e-05,"[2560, 1280]","[2560, 1280]","[1280, 640]",116,False,0.3481556341177031,4
gat,5,0.7524030493868081,0.8578987150415722,0.6700118063754428,0.9109366885254686,0.8720013708019191,0.677122439726313,32,0.0006340966463961,"[2560, 1280, 640]","[2560, 1280]","[2560, 1280, 640]",158,True,0.103047863722637,15
gat,6,0.7266993693062368,0.8939655172413793,0.6121605667060213,0.9004829012785204,0.866346812885538,0.662468396945408,64,0.0001182435614938,"[1280, 640]","[2560, 1280]",[640],188,False,0.1182999058527596,6
gat,7,0.7298810356892932,0.8960481099656358,0.6157024793388429,0.8958441529937514,0.8677176148046607,0.6661838698825197,16,0.0003852169673817,[2560],"[1280, 640]",[640],196,True,0.0955034776852105,7
gat,8,0.7119133574007219,0.91635687732342,0.5820543093270366,0.8853099130797651,0.863262508567512,0.6558320883211367,16,0.0017918222595957,"[2560, 1280]","[1280, 640]","[2560, 1280]",181,False,0.4855230702550644,5
gat,9,0.7287087912087912,0.8711001642036125,0.6263282172373081,0.8912298469275776,0.8646333104866347,0.6572058026951851,64,0.00366160360854,[1280],[1280],[1280],125,False,0.2780173768825734,9
gat,10,0.73075583420411,0.8912489379779099,0.6192443919716647,0.901796296412424,0.8675462645647704,0.6655130984720794,32,0.0008945876314548,[640],[2560],"[2560, 1280, 640]",80,True,0.0019190721168773,7
gat,11,0.7376133984647594,0.901877133105802,0.6239669421487604,0.9046550383464916,0.8711446196024675,0.6754800432486419,32,0.0002258511852474,[2560],"[1280, 640]",[640],199,True,0.1628275795662704,3
gat,12,0.7037418468932373,0.8408531583264971,0.6050767414403778,0.8861614714244099,0.8521247429746401,0.6233048352174747,32,0.0002343271755889,"[2560, 1280, 640]",[640],"[2560, 1280]",173,True,0.1854785111894829,2
gat,13,0.715379706445437,0.7784722222222222,0.6617473435655253,0.8879473923644505,0.8471555860178204,0.6156134293729695,32,0.0001944231260585,[2560],"[2560, 1280]",[2560],160,True,0.1958413829375823,2
