seed,fold,f1_macro,precision,roc_auc,accuracy,mcc,recall,identity
0,0,0.7637710831627182,0.8002042900919305,0.8924814985362042,0.8354499151103565,0.639487257730059,0.7305110033569564,80
1,0,0.7743244686532095,0.9060234941264684,0.9046764142573462,0.8565025466893039,0.6878505470523693,0.6760537113017531,80
2,0,0.738485733543024,0.9285310734463277,0.900290265360375,0.8419015280135823,0.6598514084666425,0.6130175307721,80
3,0,0.7404308722024681,0.8428571428571429,0.878304744806661,0.8314431239388794,0.6284555815886637,0.660201417381574,80
4,0,0.723491305830208,0.9260983415769567,0.8695005474220728,0.8347707979626485,0.6444181357177138,0.5936217829168221,80
0,0,0.7781224864989085,0.9484593837535014,0.8970126204111287,0.8752422793642589,0.7173685086158406,0.65965322423534,60
1,0,0.6994282182042962,0.5795876552695608,0.9031866418045575,0.7486755394753845,0.5314548001968292,0.8817455678940191,60
2,0,0.7926023778071334,0.9111617312072893,0.9008087529991261,0.8782788473963045,0.720667698612583,0.701344243132671,60
3,0,0.7581723625557206,0.7244010647737356,0.8998926006600455,0.8317612094585863,0.631225393594433,0.795246444574323,60
4,0,0.7636492554951548,0.9705617302493241,0.9005417329673508,0.8707843390618943,0.7104012146924594,0.6294564582115721,60
0,0,0.7954320852091797,0.8938795656465943,0.9129601635400649,0.8518724656118312,0.6917721744790096,0.7165182987141444,40
1,0,0.7671845073419876,0.8300713792309463,0.8979237033945399,0.826031645066391,0.6342090578226063,0.7131552917903067,40
2,0,0.7762057213673449,0.8120138288677614,0.9066531382655716,0.8277013596247118,0.6382180535012008,0.7434223541048467,40
3,0,0.7665598842616513,0.8024664647338814,0.8903341362534061,0.8203864196549256,0.6227204115124096,0.733728981206726,40
4,0,0.7666177395680436,0.8155253178674995,0.9018387606048963,0.8230102568180011,0.627818841347322,0.72324431256182,40
0,0,0.9889997441800972,0.9984504132231405,0.9905104039670688,0.9804100227790433,0.9030467918565844,0.979726305119108,20
1,0,0.9785276073619632,0.9871067560598247,0.983243380227668,0.9617312072892938,0.8054841696097872,0.9700963000506843,20
2,0,0.989247311827957,0.999482669425763,0.9954349940411775,0.9808656036446469,0.9064651004240885,0.9792194627470857,20
3,0,0.9840698869475848,0.9979155810317873,0.9853780541819062,0.971753986332574,0.8662670523357254,0.9706031424227065,20
4,0,0.9785585120123999,0.9978925184404637,0.9762640237804961,0.9621867881548974,0.8303049029284887,0.9599594526102382,20
