accuracy,f1_score,recall,precision,roc_auc,mcc,seed,fold,identity
0.6649228887832054,0.6541374474053296,0.8707991038088125,0.5238095238095238,0.856279039410924,0.41132735544256505,0,0,80
0.6588762823561384,0.646682147632116,0.857916355489171,0.5189158667419537,0.8519126039707724,0.3959774219378141,1,0,80
0.6747061621034037,0.6607142857142857,0.8704256908140403,0.5324349017816354,0.8622594102427706,0.42452528910485926,2,0,80
0.673415313540322,0.6571082102860403,0.8599701269604182,0.5316864827426988,0.856702992576328,0.4171494036604491,3,0,80
0.6596915551328215,0.6460821027344026,0.8536221060492906,0.5197226327156985,0.8510614373054218,0.3947847431589815,4,0,80
0.6360698125404007,0.6162235855487389,0.8819512195121951,0.47354635935044526,0.8466824882999918,0.3836230736105516,0,0,60
0.6341305753070459,0.6149135936862159,0.8817560975609756,0.4720568264911731,0.8469595916490823,0.3810641953537124,1,0,60
0.6354234001292824,0.6160130718954249,0.8827317073170732,0.47307330335668724,0.8469013096936189,0.38329041749098225,2,0,60
0.6382029734970911,0.6203622057925795,0.8922926829268293,0.4754626741526305,0.848637847905787,0.3927012426380041,3,0,60
0.6416289592760182,0.6186545604622369,0.8774634146341463,0.47774354615956655,0.8489448749837909,0.38790382108408683,4,0,60
0.41270727040816324,0.5768280774312138,0.9998008761449622,0.4053443125857754,0.8526753224392837,0.09052602176714952,0,0,40
0.41191007653061223,0.5764969286411389,0.9998008761449622,0.40501734290554164,0.8529247169936989,0.08746396309370508,1,0,40
0.41270727040816324,0.5768280774312138,0.9998008761449622,0.4053443125857754,0.8530981628190388,0.09052602176714952,2,0,40
0.41151147959183676,0.5763314967860422,0.9998008761449622,0.40485405579745204,0.8527695502193963,0.0858939708683288,3,0,40
0.413265306122449,0.5769628692953213,0.9994026284348865,0.40554298642533937,0.85341228189161,0.09095356272851905,4,0,40
0.964824120603015,0.9805996472663139,0.9893238434163701,0.972027972027972,0.9925688270884001,0.7960411160655514,0,0,20
0.9520328917313842,0.9739776951672863,0.9989832231825114,0.9501934235976789,0.993690945648241,0.7067732932608328,1,0,20
0.9671082686158063,0.9818639798488665,0.990849008642603,0.9730404393409885,0.9934161411029738,0.8093835292241874,2,0,20
0.9657377798081316,0.9810844892812106,0.9888154550076258,0.9734734734734735,0.9926466883762258,0.8023612125308649,3,0,20
0.9661946094106898,0.9813036887316827,0.987290289781393,0.9753892516323456,0.991881815725232,0.806792805674176,4,0,20

