seed,f1_macro,precision,roc_auc,accuracy,mcc,recall
0,0.7919093508418935,0.8675174013921114,0.8978818243801399,0.8730456131283112,0.707109751195973,0.7284239236314046
1,0.7736831147199666,0.8307623518891124,0.8984361560075694,0.8595425765602791,0.6758998867091365,0.7239431131891682
2,0.7777899223958904,0.8859561752988048,0.8908982213761598,0.8686522806564155,0.6969384691858275,0.6931618936294565
3,0.7364981392393575,0.6894969408565602,0.9000733886073651,0.8124434681483396,0.5952776799457233,0.7903759984414572
4,0.6797539809588002,0.5988717339667459,0.858608401724378,0.7544256363871301,0.4982652982030505,0.7858951879992208
