seed,f1_macro,precision,roc_auc,accuracy,mcc,recall
0,0.7662277874965472,0.72643156424581,0.9006491699714609,0.8359607184390748,0.6427466636049617,0.8106370543541789
1,0.7870630775411812,0.8123574538668878,0.8982726653237512,0.8630313994056079,0.6869782547843106,0.7632963179427236
2,0.7684358853922029,0.7420174165457184,0.9087757011959405,0.8407416978937847,0.6482612339935173,0.79680498733684
3,0.7723592543777067,0.747312807433048,0.9124254143786868,0.8437782659258302,0.6544998494386102,0.7991428014806157
4,0.804588198821949,0.8567341549295775,0.9060431855325952,0.8778265925830211,0.7190140799593758,0.7584258718098578
