seed,fold,f1_macro,precision,roc_auc,accuracy,mcc,recall
0,0,0.8109658909786419,0.8550302487116289,0.9176220353535917,0.8768602478023119,0.7221214759822258,0.7712206952303962
0,1,0.7640322031976414,0.9503526093088858,0.8495308415980256,0.8590490382010295,0.6957985514899508,0.6387940841865757
0,2,0.7748184019370459,0.8185053380782918,0.8858186515206066,0.8555998109768447,0.6710569106113469,0.7355586648011193
0,3,0.7868649318463445,0.7917705735660848,0.8823389598895114,0.8592471358428805,0.6818298730883375,0.7820197044334976
0,4,0.799516377225764,0.8753309265944645,0.8695374271592498,0.874570210424976,0.7149077803135323,0.7357879830062715
1,0,0.7962674961119751,0.8175431126250798,0.9160167095834366,0.8639856025472417,0.69481798508772,0.7760711398544866
1,1,0.7703915171288744,0.8332598147331275,0.8662268487716147,0.8474668111622866,0.6613735827473446,0.7163443306788017
1,2,0.7885714285714286,0.8757627532340737,0.8651798319581137,0.8701140889758996,0.7034081775766508,0.7171696981810913
1,3,0.7721960221447612,0.7714051618189267,0.8815096830159266,0.8484724495362793,0.6586790460795516,0.7729885057471264
1,4,0.8017600741083836,0.9374492282696995,0.8823944356433211,0.8822720396094073,0.7359962844888079,0.7003843819542788
2,0,0.7990800752665691,0.8276310090948462,0.9179225499037766,0.8669619990309407,0.7007470158433255,0.7724333063864187
2,1,0.7827479449129925,0.8956755436110433,0.8710789814078888,0.8621647250067732,0.6959352239406608,0.6951080773606371
2,2,0.7852370346802419,0.8364211477632173,0.8823174393019642,0.8632957537298319,0.6882932073068888,0.7399560263841695
2,3,0.8052869116698903,0.8450608930987822,0.8940209120645386,0.8764320785597381,0.716781789153399,0.7690886699507389
2,4,0.8012884594024214,0.888423645320197,0.8892319204216115,0.8769770320451107,0.7206802944402971,0.7297187942545014
3,0,0.8196359624931053,0.9023560845275687,0.9239020862767072,0.8868277150965599,0.7448105058087303,0.7508084074373484
3,1,0.7847804878048781,0.8082797427652733,0.8892620338036206,0.8505824979680303,0.6711628125815503,0.7626090254076602
3,2,0.7722435078756917,0.8258593216480765,0.8802493325615233,0.8555323027070816,0.6701354033944286,0.7251649010593644
3,3,0.8027882037533512,0.840556927913766,0.8822986824638859,0.8745908346972177,0.7126692005008518,0.7682676518883416
3,4,0.7969157500850438,0.9066047471620227,0.8845733011714312,0.8768394993811031,0.7211981501826016,0.7109043091240138
4,0,0.8151505341534477,0.8745079879601759,0.9155650388421093,0.8814286703121755,0.7321116226264319,0.763338722716249
4,1,0.7990111779879622,0.922332506203474,0.877354623132827,0.8733405581143322,0.7226155612068491,0.7047781569965871
4,2,0.7945969125214409,0.856878612716763,0.8731387263462513,0.8706541551340039,0.7048879329952076,0.7407555466719968
4,3,0.7829441624365482,0.7746082764162314,0.8896628065737789,0.8542007637752319,0.673286820211315,0.7914614121510674
4,4,0.7975768659275346,0.9167104571728849,0.8807907699603799,0.8782148260211801,0.7250251729795757,0.7058466518308719
