seed,fold,f1_macro,precision,roc_auc,accuracy,mcc,recall
0,0,0.7948202723822282,0.8877805486284289,0.9206406167249194,0.8727763549525853,0.7122518876174179,0.719482619240097
0,1,0.7536557930258718,0.9264380530973452,0.8919231788206494,0.8516662151178542,0.6765424649774233,0.6351915054986728
0,2,0.7844697784469777,0.8491268917345751,0.9068250181389637,0.8647134273948559,0.6909626473206237,0.7289626224265441
0,3,0.7748402731879268,0.8361864003804089,0.8888511582794038,0.8606110201854883,0.6785093776326466,0.72188013136289
0,4,0.7900140494974602,0.8480278422273781,0.9050181128306807,0.8663870169165176,0.6962047181787138,0.7394294962573336
1,0,0.7656096763648251,0.8306928351856231,0.8981928851294648,0.8511109572921713,0.6618463557254082,0.709983831851253
1,1,0.7677999379973133,0.843742902566432,0.9089598335752902,0.8478054727716066,0.6618772068698792,0.7043989381873341
1,2,0.7727128503437334,0.8205300988319856,0.903874403186834,0.8549247282792142,0.6691521520907427,0.7301619028582851
1,3,0.779699874947895,0.791913632514818,0.9002402580404768,0.8558374249863612,0.6727788834882986,0.7678571428571429
1,4,0.7935789700495584,0.8488130905738649,0.8983930507124906,0.8682437078806217,0.700616111775784,0.7450940724256524
2,0,0.7753607103218645,0.8599212210733629,0.9019674495796393,0.859901709697515,0.6819310943461813,0.7059417946645109
2,1,0.7706766917293233,0.9244031830238727,0.9018643259795254,0.8595231644540775,0.6931333871005633,0.6607887751232461
2,2,0.7907440212577502,0.8863241499131298,0.9109566981523625,0.8724093701478431,0.7089933319524737,0.7137717369578253
2,3,0.7932877297990594,0.8276092774308653,0.9047740833641885,0.8681123840698309,0.6979899019928008,0.7616995073891626
2,4,0.7846338012841442,0.8490343853038154,0.8976543977528848,0.863911428964379,0.6902299146438615,0.72931418167105
3,0,0.7971745711402624,0.8952404935784437,0.9106681058968638,0.8747836921160103,0.7171378861212815,0.7184721099434115
3,1,0.7739617457465922,0.8741943184530915,0.8989846905890199,0.8551205635329179,0.6790231891731632,0.6943496397421313
3,2,0.78453276047261,0.8479219874622708,0.9086836888692472,0.8645784108553298,0.6906910512105169,0.7299620227863282
3,3,0.7922674356509666,0.8258739701625473,0.8980824025611203,0.8673622476813966,0.6963269361679053,0.7612889983579638
3,4,0.7818673320856728,0.8042780748663102,0.9019383425472723,0.8557282354559208,0.674799242383962,0.7606716568885292
4,0,0.7815116911364873,0.8460089474923476,0.8928715893422982,0.8609399875406659,0.6846647072061156,0.7261519805982215
4,1,0.7555755800856048,0.9306326304106548,0.8958359257274588,0.8530208615551341,0.6800302236203957,0.6359499431171786
4,2,0.778106833388176,0.8621779290228488,0.9060402901989693,0.863430770269358,0.6876139890287775,0.7089746152308615
4,3,0.7850311850311851,0.7952822240943556,0.898427459465587,0.8589743589743589,0.6802502555727561,0.7750410509031199
4,4,0.7665469471523858,0.7778009162848813,0.8947306724516557,0.8435565946912391,0.6490997053544663,0.7556139995953874
