accuracy,f1_score,recall,precision,roc_auc,mcc,seed,identity
0.8220561342132464,0.7677941481635193,0.7313698359359557,0.8080366892334571,0.9024312921308817,0.6261730039340926,0,40
0.8320744215631709,0.7769328263624841,0.7270211504249852,0.8342027670673622,0.9020566361888482,0.6472169164062452,1,40
0.8211815218255546,0.7680247550283651,0.7359161889701522,0.8030629853321829,0.9013551110463964,0.6245654033934623,2,40
0.8272242983223345,0.772436904387894,0.7289978256572445,0.8213808463251671,0.9037723708339492,0.6369139017433442,3,40
0.8261111552834539,0.771783366377961,0.7309745008895039,0.8174182139699381,0.9008505172352776,0.6346119949308996,4,40
0.87039669207908,0.7929397192402973,0.7472762645914397,0.844547053649956,0.9111326182803348,0.7019036735342186,0,60
0.8708489468923634,0.7936409621141737,0.7478599221789883,0.8453925665273807,0.9114071428517659,0.7029522910499665,1,60
0.8701382607572038,0.7934224049331964,0.7509727626459144,0.840958605664488,0.9122622198484981,0.7015487776241555,2,60
0.8718180643493991,0.7960106929878675,0.7531128404669261,0.8440907108591365,0.9101309682159355,0.7054295859967605,3,60
0.8711719860447086,0.7947715109098396,0.7511673151750973,0.84375,0.9104522301839837,0.7038681051601574,4,60
0.8416977928692699,0.7676666998903617,0.7178005591798695,0.8249785775492716,0.8899047422754318,0.6521057570586061,0,80
0.8421731748726655,0.7676464707058589,0.7155638397017707,0.8279059736898857,0.8889862076931043,0.6530615713868356,1,80
0.8414261460101867,0.7676385710020898,0.7189189189189189,0.8234415029888984,0.8898019471726369,0.6515611534567197,2,80
0.839320882852292,0.7643426294820718,0.7151910531220876,0.8207486631016043,0.8892531722704136,0.6468269846352106,3,80
0.8422410865874363,0.768186807703822,0.7174277726001864,0.8266752577319587,0.8901919890712995,0.6532762666869917,4,80
