accuracy,f1_score,recall,precision,roc_auc,mcc,seed,similarity
0.9172220741135697,0.8908035871285388,0.8773813647384828,0.9046428571428572,0.9653987914591544,0.8244264959718087,0,80
0.9166888829645428,0.8897123698605965,0.8732248008313128,0.9068345323741007,0.9650672439421908,0.8231915493071824,1,80
0.9187549986670221,0.8925707235392616,0.8770349844128853,0.9086667862910461,0.9661001084174171,0.827615979787037,2,80
0.9183551053052519,0.8921370080126795,0.8773813647384828,0.907397456564571,0.9659135114971623,0.8267893918128064,3,80
0.9167555318581712,0.889946250770993,0.8746103221337028,0.905829596412556,0.9655672906641307,0.8233684596990402,4,80
0.8608233492478156,0.8127045702509396,0.7868544600938967,0.8403108548508398,0.9295107927690882,0.7031258657621721,0,60
0.862805152688947,0.8155504420491704,0.7903755868544601,0.8423817863397548,0.9295400797319118,0.7074210899626512,1,60
0.8642464642824971,0.817664851784634,0.7931924882629108,0.8436953807740325,0.9321227197517317,0.7105570790619208,2,60
0.8655976939014504,0.8198067632850242,0.7967136150234742,0.8442786069651741,0.9321339232588927,0.7135437283507965,3,60
0.8610035131970093,0.8144317498496693,0.7948356807511737,0.8350184956843403,0.9301528240730257,0.7039752514055415,4,60
0.9464627151051626,0.7704918032786885,0.6619718309859155,0.9215686274509803,0.9307615605135237,0.7541136452739817,0,40
0.9426386233269598,0.75,0.6338028169014085,0.9183673469387755,0.9263367817524616,0.7346131840543492,1,40
0.9445506692160612,0.7603305785123967,0.647887323943662,0.92,0.9265860650629439,0.7444051078825027,2,40
0.9388145315487572,0.7333333333333333,0.6197183098591549,0.8979591836734694,0.9277078399601147,0.7154566874817313,3,40
0.9483747609942639,0.7768595041322314,0.6619718309859155,0.94,0.924778761061947,0.7633891078543453,4,40
0.799791759631117,0.6127733026467204,0.8479299363057324,0.4797297297297297,0.9134954486618612,0.5276562063333438,0,20
0.809757548713372,0.6272223841445642,0.856687898089172,0.4947126436781609,0.9190619979285091,0.5462740271165543,1,20
0.7173880708017254,0.5320197044334976,0.8598726114649682,0.38516405135520687,0.8901168301062891,0.43043871930536043,2,20
0.7383608508106501,0.548163370151554,0.8495222929936306,0.40462646947288583,0.8892575196401339,0.44891870656565913,3,20
0.8760969805146512,0.7138440398488491,0.8272292993630573,0.6277945619335348,0.9296467863346844,0.6465269742215722,4,20
