accuracy,f1_score,recall,precision,roc_auc,mcc,seed,fold,similarity
0.3544548564628886,0.35874704491725773,0.9665605095541401,0.2202467343976778,0.8028764655099094,0.18295849296682168,0,0,20
0.3596608656849621,0.3606119114807664,0.9665605095541401,0.22165419025013694,0.8049263298377409,0.18736776369133512,1,0,20
0.36114829689126876,0.3605776388268572,0.964171974522293,0.2217542574620033,0.8153986891819942,0.18643814817577747,2,0,20
0.36442064554514353,0.3615717914238757,0.9633757961783439,0.22254919992643002,0.8126323080346585,0.18847758249979035,3,0,20
0.35192622341216717,0.3580374244879917,0.9673566878980892,0.2196709455794612,0.8027965127184649,0.18154628134819997,4,0,20
0.9080459770114943,0.6842105263157895,0.7428571428571429,0.6341463414634146,0.9129582806573957,0.63349536319168,0,0,40
0.9061302681992337,0.6754966887417219,0.7285714285714285,0.6296296296296297,0.9036346396965866,0.6232258288178691,1,0,40
0.9118773946360154,0.6891891891891891,0.7285714285714285,0.6538461538461539,0.9056257901390645,0.6392926130410473,2,0,40
0.9080459770114943,0.68,0.7285714285714285,0.6375,0.9087231352718078,0.6284918729307041,3,0,40
0.9042145593869731,0.6710526315789473,0.7285714285714285,0.6219512195121951,0.9146965865992416,0.6180457005311466,4,0,40
0.7806812038205082,0.7644212156407278,0.9276485788113695,0.6500411522633744,0.9266768781425622,0.6026348892669546,0,0,60
0.7718507839250316,0.7570990023023791,0.9269438571764154,0.63985730501054,0.9246394246411243,0.5893974720485401,1,0,60
0.7786988646602991,0.7626135704620144,0.9267089499647639,0.6478896370504188,0.9258565056541009,0.5992930653594905,2,0,60
0.7785186520093711,0.7625579598145287,0.9271787643880667,0.6475799835931091,0.9264772705382164,0.5992448097899831,3,0,60
0.778428545683907,0.7623925016909847,0.9267089499647639,0.6475705843729481,0.9271967575731135,0.5988964512471915,4,0,60
0.9080536464936279,0.8819801301815691,0.8943894389438944,0.8699104578476093,0.9651329080561588,0.8069034827345626,0,0,80
0.9057182891839595,0.8794677130427365,0.8954316484280007,0.8640630238015421,0.9650782005269011,0.8024315974123706,1,0,80
0.9050510442383399,0.878718145401858,0.8954316484280007,0.8626171352074966,0.9649129299655175,0.8011284619456351,2,0,80
0.9069193300860746,0.8807794205623452,0.8950842452666319,0.8669246298788694,0.9652379664607277,0.8047457383116676,3,0,80
0.9067191566023888,0.8807574206755373,0.8968212610734758,0.8652589240824535,0.9654467659230996,0.804543123078634,4,0,80
