accuracy,f1_score,recall,precision,roc_auc,mcc,seed,identity
0.8731748287892492,0.7851592426398161,0.6988116111435807,0.8958541458541458,0.8941451352458627,0.7079518278840788,0,60
0.8733686522806564,0.7859327217125381,0.7009546074420417,0.8943574446930151,0.8939307226235494,0.7083338395594829,1,60
0.8727871818064349,0.785582053795056,0.7027079680498733,0.8906172839506172,0.8943945755329691,0.7068165955933684,2,60
0.8729810052978421,0.7850426415919528,0.6993960646795246,0.8945925741340643,0.8946310216863617,0.7074398155027382,3,60
0.872851789636904,0.7846355876559422,0.6984219754529515,0.8951310861423221,0.8948467337220463,0.707163679650783,4,60
0.8294057724957555,0.7506452253325392,0.7051473330846699,0.8024193548387096,0.8903584777001445,0.6248177269666091,0,80
0.83830220713073,0.7644206985257742,0.7204401342782544,0.8141201264488935,0.8956096203986559,0.6448044627881051,1,80
0.8358573853989814,0.7605270979887051,0.7157776948899665,0.8112449799196787,0.8900686425808921,0.6392903602765495,2,80
0.8286587436332767,0.7537815946130576,0.7202536367027229,0.7905834186284545,0.891891430803902,0.624421538892042,3,80
0.8304244482173175,0.7530412422114529,0.7099962700484894,0.8016424510423247,0.890366445128342,0.6273142405575735,4,80
0.820147889003737,0.7775373721479151,0.781998021760633,0.7731273225112458,0.904698818184759,0.6266334584978557,0,40
0.824520950942196,0.7854573733838826,0.7992087042532147,0.77217125382263,0.9099324868614872,0.6373521530714273,1,40
0.8133100103363282,0.7708373999609603,0.7812067260138477,0.7607397418609131,0.901610942225259,0.6135387384315409,2,40
0.8243619305080703,0.7789010109098189,0.7697329376854599,0.788290113452188,0.9046718350208331,0.6333753478763741,3,40
0.8188757255307307,0.779306335981399,0.7956478733926805,0.7636225555344598,0.9059905385350351,0.6262091147650793,4,40
