seed,fold,f1_macro,precision,roc_auc,accuracy,mcc,recall
1,0,0.7182561307901907,0.9468390804597702,0.9169648076151187,0.8627190653212958,0.6680005190954119,0.5785776997366111
2,0,0.7316836487142164,0.8177874186550976,0.9114667598882812,0.8531598513011153,0.6388321056199296,0.6619841966637401
3,0,0.7963718820861678,0.8236397748592871,0.9238040300746653,0.8807753584705258,0.7129957349333004,0.7708516242317822
4,0,0.7849124382577458,0.8033088235294118,0.9188216645338658,0.8728093467870419,0.6950548131749078,0.7673397717295873
5,0,0.6956111373289288,0.7520408163265306,0.8899093729498457,0.8287307488050982,0.5805440508481808,0.6470588235294118
