accuracy,f1_score,recall,precision,roc_auc,mcc,seed,similarity
0.6984732824427481,0.6220095693779905,1.0,0.4513888888888889,0.982194455290902,0.5199760287763023,0,20
0.732824427480916,0.65,1.0,0.4814814814814814,0.981647793830535,0.5571325615213591,1,20
0.6946564885496184,0.6190476190476191,1.0,0.4482758620689655,0.9781335415853184,0.5159795566232658,2,20
0.7175572519083969,0.6372549019607843,1.0,0.4676258992805755,0.9793830534947288,0.5403419936569727,3,20
0.6335877862595419,0.5752212389380531,1.0,0.4037267080745341,0.9887543928153064,0.4549580084127804,4,20
0.7618595825426945,0.6736020806241872,0.8576158940397351,0.5546038543897216,0.904614185571368,0.5288421894034679,0,60
0.7381404174573055,0.6515151515151515,0.8543046357615894,0.5265306122448979,0.9014350253628294,0.4947702235211432,1,60
0.7447817836812144,0.6492829204693612,0.8245033112582781,0.535483870967742,0.8928794737212907,0.4892380967321358,2,60
0.7770398481973435,0.68371467025572,0.8410596026490066,0.5759637188208617,0.9033768669860504,0.5429628692337349,3,60
0.7163187855787476,0.6436233611442194,0.8940397350993378,0.5027932960893855,0.9016023495843316,0.4874812320207867,4,60
0.8693693693693694,0.8786610878661089,0.8267716535433071,0.9375,0.9504351429755492,0.745252969953848,0,80
0.8738738738738738,0.8823529411764706,0.8267716535433071,0.945945945945946,0.9463738085370909,0.7556391124715065,1,80
0.8783783783783784,0.8860759493670887,0.8267716535433071,0.9545454545454546,0.937007874015748,0.766086588088151,2,80
0.8783783783783784,0.8851063829787233,0.8188976377952756,0.9629629629629628,0.935764608371322,0.7689609990894579,3,80
0.8693693693693694,0.8744588744588745,0.7952755905511811,0.971153846153846,0.9368421052631578,0.7572283609344566,4,80
