accuracy,f1_score,recall,precision,roc_auc,mcc,seed,class_name
0.935191637630662,0.8567026194144838,0.8881789137380192,0.8273809523809523,0.9618919888606037,0.8157527267989084,0,Alkaloids
0.9491289198606272,0.8801313628899836,0.8562300319488818,0.9054054054054054,0.9688455690147102,0.84840923616764,1,Alkaloids
0.9477351916376306,0.8784440842787683,0.865814696485623,0.8914473684210527,0.965482678694481,0.8453100831367408,2,Alkaloids
0.9463414634146341,0.8760064412238324,0.8690095846645367,0.8831168831168831,0.9702351460479631,0.8418162696583115,3,Alkaloids
0.929616724738676,0.8429237947122863,0.865814696485623,0.8212121212121212,0.9666501512019272,0.7980753437789896,4,Alkaloids
0.9075208913649025,0.9362519201228878,0.94276875483372,0.9298245614035088,0.9659875578890932,0.7681674749472811,0,Amino_acids_and_Peptides
0.9119777158774374,0.939183987682833,0.9435421500386698,0.9348659003831418,0.9670197785809586,0.7800310624548044,1,Amino_acids_and_Peptides
0.9075208913649025,0.9358578052550232,0.9365815931941222,0.9351351351351351,0.96759135153123,0.770192449318939,2,Amino_acids_and_Peptides
0.9047353760445682,0.9342054636398615,0.9389017788089714,0.9295558958652373,0.9637767568550238,0.7617931802452053,3,Amino_acids_and_Peptides
0.909192200557103,0.9373317954632834,0.94276875483372,0.9319571865443425,0.96441688774677,0.7727080478314744,4,Amino_acids_and_Peptides
0.8502340093603744,0.728813559322034,0.7655786350148368,0.6954177897574124,0.917906206333506,0.6270735998295086,0,Carbohydrates
0.8494539781591264,0.724679029957204,0.7537091988130564,0.6978021978021978,0.91691080652505,0.622167852217021,1,Carbohydrates
0.8564742589703588,0.7333333333333333,0.7507418397626113,0.71671388101983,0.9183929160190286,0.6355396609676022,2,Carbohydrates
0.8712948517940717,0.7555555555555555,0.7566765578635015,0.7544378698224852,0.9273766347950325,0.6682093636725664,3,Carbohydrates
0.8424336973478939,0.7186629526462395,0.7655786350148368,0.6771653543307087,0.9150361892201654,0.6120216516485029,4,Carbohydrates
0.8630281690140845,0.7972902553413237,0.75,0.8509454949944383,0.9313399590605473,0.6976375227193232,0,Fatty_acids
0.8580985915492958,0.7877830437072144,0.7333333333333333,0.850967007963595,0.9234262551174316,0.686336967062571,1,Fatty_acids
0.8616197183098592,0.7939171473518616,0.7421568627450981,0.8534385569334837,0.92649186597716,0.694335664894489,2,Fatty_acids
0.8633802816901408,0.7964323189926548,0.7441176470588236,0.8566591422121896,0.9283874703727646,0.69828691488849,3,Fatty_acids
0.8672535211267606,0.7989333333333334,0.734313725490196,0.8760233918128655,0.9231205559146737,0.7070748590387053,4,Fatty_acids
0.5079365079365079,0.32608695652173914,0.19823788546255505,0.9183673469387755,0.8634361233480176,0.2504359342766247,0,Polyketides
0.5291005291005291,0.36428571428571427,0.22466960352422907,0.9622641509433962,0.8480030341045015,0.29824779654438693,1,Polyketides
0.5370370370370371,0.38162544169611307,0.23788546255506607,0.9642857142857143,0.8882340928319281,0.3097186613984565,2,Polyketides
0.5317460317460317,0.3745583038869258,0.23348017621145375,0.9464285714285714,0.8309653703649678,0.2945142907479868,3,Polyketides
0.48412698412698413,0.2585551330798479,0.14977973568281938,0.9444444444444444,0.8369168830411063,0.22781386250127703,4,Polyketides
0.8848589522164652,0.6794871794871794,0.603988603988604,0.7765567765567766,0.8794703239147684,0.6178080282604368,0,Shikimates_and_Phenylpropanoids
0.8698906160046056,0.6169491525423728,0.5185185185185185,0.7615062761506276,0.8797252130585465,0.5564886901280194,1,Shikimates_and_Phenylpropanoids
0.8860103626943006,0.6754098360655737,0.5868945868945868,0.7953667953667953,0.8955673955673955,0.6185110375559364,2,Shikimates_and_Phenylpropanoids
0.8779504893494531,0.6454849498327759,0.5498575498575499,0.7813765182186235,0.8945560612227278,0.5873899332517258,3,Shikimates_and_Phenylpropanoids
0.8773747841105354,0.6581059390048154,0.584045584045584,0.7536764705882353,0.8825310491977159,0.5919126721900689,4,Shikimates_and_Phenylpropanoids
0.7618595825426945,0.6736020806241872,0.8576158940397351,0.5546038543897216,0.9046141855713681,0.5288421894034679,0,Terpenoids
0.7381404174573055,0.6515151515151515,0.8543046357615894,0.5265306122448979,0.9014350253628294,0.49477022352114325,1,Terpenoids
0.7447817836812144,0.6492829204693612,0.8245033112582781,0.535483870967742,0.8928794737212907,0.48923809673213586,2,Terpenoids
0.7770398481973435,0.68371467025572,0.8410596026490066,0.5759637188208617,0.9033768669860504,0.5429628692337349,3,Terpenoids
0.7163187855787476,0.6436233611442194,0.8940397350993378,0.5027932960893855,0.9016023495843315,0.4874812320207867,4,Terpenoids
