accuracy,f1_score,recall,precision,roc_auc,mcc,seed,similarity
0.5288461538461539,0.1090909090909091,1.0,0.0576923076923076,0.8085808580858086,0.1723454968864278,0,20
0.5288461538461539,0.1090909090909091,1.0,0.0576923076923076,0.834983498349835,0.1723454968864278,1,20
0.7692307692307693,0.1999999999999999,1.0,0.1111111111111111,0.9867986798679867,0.2910471969407792,2,20
0.6153846153846154,0.1304347826086956,1.0,0.0697674418604651,0.9537953795379538,0.2052724331631419,3,20
0.7596153846153846,0.1935483870967741,1.0,0.1071428571428571,0.9933993399339934,0.2839407472503385,4,20
0.5079365079365079,0.3260869565217391,0.198237885462555,0.9183673469387756,0.8634361233480176,0.2504359342766247,0,60
0.5291005291005291,0.3642857142857142,0.224669603524229,0.9622641509433962,0.8480030341045015,0.2982477965443869,1,60
0.5370370370370371,0.381625441696113,0.237885462555066,0.9642857142857144,0.8882340928319281,0.3097186613984565,2,60
0.5317460317460317,0.3745583038869258,0.2334801762114537,0.9464285714285714,0.8309653703649678,0.2945142907479868,3,60
0.4841269841269841,0.2585551330798479,0.1497797356828193,0.9444444444444444,0.8369168830411063,0.227813862501277,4,60
1.0,1.0,1.0,1.0,,0.0,0,80
1.0,1.0,1.0,1.0,,0.0,1,80
1.0,1.0,1.0,1.0,,0.0,2,80
1.0,1.0,1.0,1.0,,0.0,3,80
1.0,1.0,1.0,1.0,,0.0,4,80
0.5288461538461539,0.1090909090909091,1.0,0.0576923076923076,0.8085808580858086,0.1723454968864278,0,20
0.5288461538461539,0.1090909090909091,1.0,0.0576923076923076,0.834983498349835,0.1723454968864278,1,20
0.7692307692307693,0.1999999999999999,1.0,0.1111111111111111,0.9867986798679867,0.2910471969407792,2,20
0.6153846153846154,0.1304347826086956,1.0,0.0697674418604651,0.9537953795379538,0.2052724331631419,3,20
0.7596153846153846,0.1935483870967741,1.0,0.1071428571428571,0.9933993399339934,0.2839407472503385,4,20
0.5079365079365079,0.3260869565217391,0.198237885462555,0.9183673469387756,0.8634361233480176,0.2504359342766247,0,60
0.5291005291005291,0.3642857142857142,0.224669603524229,0.9622641509433962,0.8480030341045015,0.2982477965443869,1,60
0.5370370370370371,0.381625441696113,0.237885462555066,0.9642857142857144,0.8882340928319281,0.3097186613984565,2,60
0.5317460317460317,0.3745583038869258,0.2334801762114537,0.9464285714285714,0.8309653703649678,0.2945142907479868,3,60
0.4841269841269841,0.2585551330798479,0.1497797356828193,0.9444444444444444,0.8369168830411063,0.227813862501277,4,60
