accuracy,f1_score,recall,precision,roc_auc,mcc,seed,num_samples_test,similarity
0.7389033942558747,0.441340782122905,0.9115384615384615,0.29115479115479115,0.9246206688306786,0.4162057326930919,0,2298,20
0.7114882506527415,0.41585903083700443,0.9076923076923077,0.26971428571428574,0.9256227825167963,0.387594950099013,1,2298,20
0.6914708442123586,0.39349871685201027,0.8846153846153846,0.253025302530253,0.9152298633652902,0.357238603765976,2,2298,20
0.608355091383812,0.34782608695652173,0.9230769230769231,0.21428571428571427,0.9080697516418812,0.3113415729490294,3,2298,20
0.6588337684943429,0.3787638668779715,0.9192307692307692,0.23852295409181637,0.9196855891900053,0.34803639948922177,4,2298,20
0.884304932735426,0.6964705882352941,0.592,0.8457142857142858,0.9332161849710983,0.642972455373091,0,1115,40
0.8860986547085202,0.7053364269141531,0.608,0.8397790055248618,0.9354682080924855,0.6497341615776732,1,1115,40
0.8834080717488789,0.6948356807511737,0.592,0.8409090909090909,0.9348300578034683,0.6401621026277006,2,1115,40
0.885201793721973,0.7023255813953488,0.604,0.8388888888888889,0.9358751445086705,0.6466538193764662,3,1115,40
0.8834080717488789,0.6976744186046512,0.6,0.8333333333333334,0.9328184971098266,0.6408092199470918,4,1115,40
0.9255780346820809,0.8251273344651953,0.8772563176895307,0.7788461538461539,0.9690287275917284,0.7802917523925363,0,1384,60
0.9241329479768786,0.8217317487266553,0.8736462093862816,0.7756410256410257,0.9692309197460205,0.7759701211604992,1,1384,60
0.9255780346820809,0.8245315161839863,0.8736462093862816,0.7806451612903226,0.9702679698277126,0.7794779130336305,2,1384,60
0.9248554913294798,0.823728813559322,0.8772563176895307,0.7763578274760383,0.9707343162480963,0.7785439263775679,3,1384,60
0.9263005780346821,0.8271186440677966,0.8808664259927798,0.7795527156549521,0.9687254393602902,0.7828606623952375,4,1384,60
0.9573241061130334,0.9451851851851852,0.9273255813953488,0.9637462235649547,0.9918348970607853,0.9107205125427362,0,867,80
0.9596309111880046,0.9486049926578561,0.938953488372093,0.9584569732937686,0.9923740495353284,0.9155035518057777,1,867,80
0.9607843137254902,0.95,0.938953488372093,0.9613095238095238,0.992574147360932,0.917921196645038,2,867,80
0.9584775086505191,0.9467455621301775,0.9302325581395349,0.963855421686747,0.9923573747165282,0.9131230446128592,3,867,80
0.9596309111880046,0.9484536082474226,0.936046511627907,0.9611940298507463,0.9928576192805372,0.9155050630463895,4,867,80
