accuracy,f1_score,recall,precision,roc_auc,mcc,seed,similarity
0.8986420520102956,0.8145501786294251,0.7924170616113744,0.8379552288673572,0.9445300889176429,0.7454392809013312,0,80
0.8989970710925712,0.8159171789065027,0.7968404423380727,0.8359297315213788,0.9433634470142336,0.7467845464136671,1,80
0.8993520901748469,0.8162074554294976,0.7955766192733017,0.837936772046589,0.9432645304749905,0.7474496226770934,2,80
0.899174580633709,0.8162406988029763,0.7971563981042654,0.8362611866092144,0.9428380174887093,0.7472305215925373,3,80
0.8982870329280199,0.8148626817447496,0.7968404423380727,0.8337190082644628,0.9435489764585268,0.7451568839263534,4,80
0.8462415759460861,0.7762185000754489,0.7654761904761904,0.7872666054484236,0.919251761563814,0.6592914190411309,0,60
0.8461378952825298,0.7755595886267392,0.763095238095238,0.7884378843788438,0.9195674461113005,0.6587573524129761,1,60
0.8464489372731986,0.7750949126803341,0.7595238095238095,0.7913178294573643,0.9211305735500246,0.6589201490909866,2,60
0.8473820632452048,0.7769020915428918,0.762797619047619,0.7915379864113651,0.9202658446035537,0.6612448516706855,3,60
0.8477967858994298,0.7768318637883855,0.7604166666666666,0.7939714108141703,0.9203153530704246,0.6617870651127171,4,60
0.8985661178969729,0.8163461538461538,0.7453906935908692,0.9022316684378321,0.952316609478192,0.7536545482427874,0,40
0.9020180562931492,0.8235294117647058,0.7559262510974539,0.9044117647058824,0.9537366571829716,0.7622876198925719,1,40
0.8990971853425385,0.8164251207729468,0.7418788410886743,0.907626208378088,0.951698659794469,0.7550464325812628,2,40
0.8998937865108869,0.8191846522781775,0.7497805092186128,0.9027484143763214,0.9531063418214243,0.75697538347862,3,40
0.8975039830058418,0.8140655105973025,0.7418788410886743,0.9018143009605123,0.9510773680356586,0.750996215134851,4,40
0.8180058083252663,0.5889212827988338,0.8253319713993871,0.4577903682719547,0.9104887246078355,0.5187691202153308,0,20
0.829622458857696,0.6056758775205378,0.8283963227783453,0.47733961153619775,0.9165455989850865,0.5381711026712526,1,20
0.8257502420135527,0.5979151154132539,0.8202247191011236,0.47041593438781487,0.9120570102053058,0.5282125057709529,2,20
0.776702161987738,0.5426305353602116,0.8386108273748724,0.40107474352711286,0.9038355963839987,0.46813469373623456,3,20
0.7960632462084544,0.5659340659340659,0.8416751787538305,0.4262803931712364,0.9096377442287267,0.49532025795370904,4,20
