accuracy,f1_score,recall,precision,roc_auc,mcc,seed,identity
0.8663203936577365,0.7723816912335143,0.7637312058913778,0.7812303829252982,0.9119283813884359,0.6778591770201484,0,60
0.8680517587023875,0.7739619107087106,0.7606627799938631,0.7877343501747697,0.9110148137556956,0.6810427782342819,1,60
0.8694186258429014,0.7758485843891757,0.7609696225836146,0.7913209955328654,0.9145244327637887,0.6840338407946508,2,60
0.8714233643156551,0.7797721242391135,0.7664927891991409,0.7935196950444727,0.9121684265537561,0.6892247868571545,3,60
0.8692363768908329,0.775535742218051,0.7606627799938631,0.7910019144862795,0.9095229979813615,0.6835923239442205,4,60
0.8348676639815881,0.7412082957619477,0.7223198594024605,0.7611111111111111,0.8907142614929151,0.6205369070945688,0,80
0.8358266206367472,0.7437892846453158,0.7278851786760399,0.7604039167686658,0.8940848531408184,0.6234117090621847,1,80
0.8382240122746452,0.7438116932422172,0.7173403632103105,0.7723115736360769,0.8917607708676712,0.6267459739314084,2,80
0.8353471423091676,0.7439224459358688,0.7305213825424721,0.7578243694925555,0.8917196989400561,0.6228760546090935,3,80
0.8373609512850019,0.7446552243300211,0.7243702401874634,0.7661090458488228,0.8908169099912151,0.6260017718974624,4,80
0.8532614797350399,0.7663150366529591,0.6919599612528253,0.858573717948718,0.8946776265076913,0.6693330977329387,0,40
0.8557314471763782,0.76983700519434,0.6938973199870843,0.8644408688656476,0.895009550633921,0.6751362317666513,1,40
0.855506904681711,0.7693134970424808,0.6929286406199548,0.8646253021756648,0.8941538004965106,0.6746235399970377,2,40
0.8560682609183788,0.7701685191825027,0.6935744268647078,0.8657799274486094,0.8968775234708843,0.6759415973432813,3,40
0.8571909733917144,0.7721246864922967,0.6958346787213432,0.8672032193158954,0.8961566548494824,0.6785559832815736,4,40
0.9552238805970149,0.9742663656884876,0.9694519317160827,0.9791288566243194,0.9871574573225516,0.8026792231171257,0,20
0.9536527886881383,0.9734353894642053,0.9712488769092543,0.9756317689530686,0.9848775831087152,0.792027305739519,1,20
0.950510604870385,0.971685393258427,0.9712488769092543,0.9721223021582733,0.9859613656783467,0.7754289521799005,2,20
0.9575805184603299,0.9754768392370572,0.9649595687331537,0.9862258953168044,0.9818957771787963,0.8213104693341577,3,20
0.9552238805970149,0.9743358847366052,0.97214734950584,0.9765342960288809,0.9844732704402516,0.799082500025438,4,20
