accuracy,f1_score,recall,precision,roc_auc,mcc,seed,fold,identity
0.5811936936936937,0.6121597663989988,0.9560260586319218,0.4502224267525694,0.8903517466795987,0.3651082020511299,0,0,40
0.5811936936936937,0.6114303625535471,0.9530944625407166,0.4500846023688663,0.88912203490556,0.3627427970624986,1,0,40
0.5838963963963963,0.6138572473612708,0.9566775244299675,0.45191567933528237,0.8916509219754777,0.36889535147690306,2,0,40
0.5820945945945946,0.6128325508607199,0.9566775244299675,0.4508058326937836,0.891280533955272,0.36672333094355763,3,0,40
0.5843468468468469,0.613143276386123,0.9527687296416938,0.4520166898470097,0.8912953629314841,0.36630243665315987,4,0,40
0.4898796498905908,0.526369254211462,0.9557331693821088,0.36320093457943925,0.8596672417046013,0.27496099449205996,0,0,60
0.4862326768781911,0.5245126993502659,0.9554257608361513,0.3614794138171668,0.8586998710398239,0.2705922203555003,1,0,60
0.49097374179431075,0.5274650867541261,0.9578850292038119,0.363933660359729,0.8600187194471667,0.27813359281024513,2,0,60
0.49097374179431075,0.5277049319008543,0.9588072548416846,0.36402894491129784,0.8609938799202054,0.278972762749964,3,0,60
0.4863238512035011,0.5249578414839797,0.9569628035659391,0.3616823515743,0.8596516820108623,0.27209764252614066,4,0,60
0.8036074066967284,0.7284065277962053,0.8052214725726019,0.6649709302325582,0.893663726479907,0.5832623745211589,0,0,80
0.798618439988487,0.7251538562262668,0.8122616603109416,0.6549195837275308,0.8937031857585588,0.5773301774640412,1,0,80
0.8141609901180082,0.741008156170611,0.81284834262247,0.6808353808353809,0.8966536189658149,0.6035669144677814,2,0,80
0.797563081646359,0.7243991640543364,0.8134350249339982,0.6529314810454439,0.8941140892166972,0.5760011381495403,3,0,80
0.7993859733282165,0.7256265581944626,0.811088295687885,0.6564577397910731,0.8927581914493102,0.5781940327292299,4,0,80
