accuracy,f1_score,recall,precision,roc_auc,mcc,seed,similarity
0.0384615384615384,0.0566037735849056,1.0,0.029126213592233,0.9009900990099008,0.016981706404197,0,20
0.0384615384615384,0.0566037735849056,1.0,0.029126213592233,0.9966996699669968,0.016981706404197,1,20
0.048076923076923,0.0571428571428571,1.0,0.0294117647058823,0.9933993399339934,0.0241331966861976,2,20
0.0384615384615384,0.0566037735849056,1.0,0.029126213592233,1.0,0.016981706404197,3,20
0.0384615384615384,0.0566037735849056,1.0,0.029126213592233,1.0,0.016981706404197,4,20
0.7513227513227513,0.7661691542288558,0.6784140969162996,0.88,0.8419931732648714,0.529782972430536,0,60
0.7566137566137566,0.7722772277227723,0.6872246696035242,0.8813559322033898,0.8501035679901976,0.5380437640714179,1,60
0.7883597883597884,0.8086124401913876,0.7444933920704846,0.8848167539267016,0.8711380809289027,0.5866029958680836,2,60
0.7592592592592593,0.7817745803357314,0.7180616740088106,0.8578947368421053,0.8472736820608572,0.5282491811247831,3,60
0.7751322751322751,0.7951807228915663,0.7268722466960352,0.8776595744680851,0.8576596551623538,0.5628294402224345,4,60
