accuracy,f1_score,recall,precision,roc_auc,mcc,seed,identity
0.8671405139420448,0.7557788944723618,0.6922368824792882,0.83216525267429,0.8775340315874859,0.6709021101560704,0,60
0.8613996719518863,0.747216220707994,0.6897821417612765,0.8150833937635968,0.878961754447577,0.6569656052334775,1,60
0.865500273373428,0.7537537537537538,0.6931574102485425,0.8259597806215722,0.8833340923196484,0.6670212571408581,2,60
0.8637689083287771,0.749034749034749,0.6845658177355017,0.8269088213491476,0.8790562532153345,0.6621973714976033,3,60
0.8656825223254966,0.7545787545787546,0.6953053083768027,0.8248998907899526,0.8776771916525294,0.6676299390561556,4,60
0.8312236286919831,0.7353383458646616,0.7161687170474517,0.7555624227441285,0.8867691222292213,0.6120497460726295,0,80
0.8342922899884925,0.7403846153846154,0.7217340363210311,0.7600246761258482,0.8828474943994346,0.6192596944813004,1,80
0.8363060989643268,0.7417939797307518,0.7182190978324546,0.7669690334688771,0.8882395473510255,0.6228703557099198,2,80
0.8314154200230149,0.7360360360360361,0.7179261862917399,0.755083179297597,0.886515298969389,0.6127347298397791,3,80
0.8327579593402378,0.7360774818401937,0.7123608670181605,0.7614276768941766,0.8894370435628868,0.6146023501200233,4,80
0.8250813966543168,0.7313793103448276,0.6848563125605425,0.7846836847946725,0.861875992368385,0.6056491417410002,0,40
0.8222746154709779,0.7314673452078032,0.6961575718437197,0.7705503931379557,0.8667916094471524,0.6008888590894893,1,40
0.8322667564836645,0.7402642559109874,0.6874394575395544,0.8018832391713747,0.8710297067230127,0.6214737496545967,2,40
0.8370944201190075,0.7467271775178914,0.6906683887633194,0.8126899696048632,0.8707059521818071,0.6323370955714054,3,40
0.8231727854496463,0.7317322432294328,0.6935744268647078,0.7743330930064888,0.8743137131764291,0.6024762665901878,4,40
0.9159465828750982,0.9497888315344909,0.9092542677448338,0.9941060903732809,0.9813061545372868,0.722034046263291,0,20
0.9041633935585232,0.9423984891406988,0.8966756513926325,0.9930348258706467,0.977546608265948,0.6935349015216403,1,20
0.9088766692851532,0.9454374412041392,0.9029649595687331,0.9921026653504442,0.9759630503144654,0.7013702931915935,2,20
0.9253731343283582,0.9557109557109557,0.9209344115004492,0.9932170542635659,0.9817946990116801,0.7422498333524572,3,20
0.9073055773762765,0.9446009389671362,0.903863432165319,0.9891838741396264,0.9738572551662175,0.6906731664289428,4,20
