accuracy,f1_score,recall,precision,roc_auc,mcc,seed,similarity
1.0,1.0,1.0,1.0,1.0,1.0,0,20
1.0,1.0,1.0,1.0,1.0,1.0,1,20
1.0,1.0,1.0,1.0,1.0,1.0,2,20
1.0,1.0,1.0,1.0,1.0,1.0,3,20
0.9903846153846154,0.8571428571428571,1.0,0.75,1.0,0.8617274844321391,4,20
0.5211640211640212,0.35125448028673834,0.21585903083700442,0.9423076923076923,0.8655074831519679,0.2786943250413583,0,60
0.5529100529100529,0.4271186440677966,0.2775330396475771,0.9264705882352942,0.8642821717186452,0.3116762073634262,1,60
0.5396825396825397,0.3916083916083916,0.24669603524229075,0.9491525423728814,0.8827201913819762,0.30611009215626106,2,60
0.5264550264550265,0.36298932384341637,0.22466960352422907,0.9444444444444444,0.8810280946407212,0.28665949065736285,3,60
0.49206349206349204,0.2835820895522388,0.16740088105726872,0.926829268292683,0.845056451848178,0.23237246906522327,4,60
1.0,1.0,1.0,1.0,,0.0,0,80
1.0,1.0,1.0,1.0,,0.0,1,80
1.0,1.0,1.0,1.0,,0.0,2,80
1.0,1.0,1.0,1.0,,0.0,3,80
1.0,1.0,1.0,1.0,,0.0,4,80
