accuracy,f1_score,recall,precision,roc_auc,mcc,seed,identity
0.8576043416462075,0.7848496680983991,0.7831677381648159,0.7865388378008218,0.9102818625339294,0.6784421545348168,0,60
0.8551492440883836,0.7801529711708178,0.7749853886616014,0.7853899308983218,0.9107129005477026,0.6721868128457821,1,60
0.8539863031399405,0.7810501840728541,0.7853107344632768,0.7768356137984197,0.9121941376306629,0.6715493010164553,2,60
0.8601240470345006,0.7878075075958051,0.7829729203195013,0.7927021696252465,0.9135311492454411,0.6835201650012526,3,60
0.8583150277813671,0.7856933450600996,0.7831677381648159,0.788235294117647,0.9136007149410034,0.6798784314822801,4,60
0.8468590831918505,0.7860328304393206,0.7724729578515479,0.8000772648251884,0.9103229107022996,0.6670964883726582,0,80
0.8369439728353141,0.7723954877239548,0.7597911227154047,0.7854251012145749,0.902020412312019,0.6456352847432352,1,80
0.8318505942275043,0.7698456962260642,0.7722864602760164,0.7674203113417346,0.9024603438192257,0.6373925968301147,2,80
0.8415619694397284,0.7802994632262924,0.7726594554270795,0.7880920677192315,0.9037860043598565,0.6565054416091509,3,80
0.8401358234295416,0.7789256198347106,0.7734054457292056,0.7845251608021188,0.9091909283818636,0.6537770175679918,4,80
0.8369245448040074,0.7862428348097966,0.7461918892185955,0.8308370044052863,0.893346677638768,0.6575061563837554,0,40
0.8333465850361772,0.7828879221048269,0.7475766567754698,0.8217003696455751,0.8930096510834951,0.6500583485117434,1,40
0.8335851156873658,0.7829513636835009,0.7467853610286844,0.8227986050566696,0.8932247800122608,0.6505308252951078,2,40
0.82682674723702,0.7689859991514638,0.7171117705242335,0.8289503773153442,0.8676979442563599,0.6358889549588574,3,40
0.8353343404627495,0.7851882584794109,0.7487636003956478,0.8253379851722634,0.891202252489302,0.654231308628708,4,40
