accuracy,f1_score,recall,precision,roc_auc,mcc,seed,identity
0.8394567062818337,0.7683261466091729,0.7310704960835509,0.8095828170177612,0.905953692590248,0.6479504454382691,0,80
0.8466553480475382,0.7768333662779204,0.7329354718388661,0.8263246425567704,0.9075260247078711,0.6634261191836905,1,80
0.848421052631579,0.7835531419705197,0.7534502051473331,0.8161616161616162,0.9100356749564968,0.668475192602106,2,80
0.8431918505942275,0.7738270153785876,0.7366654233494965,0.8149370744790592,0.9088685363591396,0.6562434110697916,3,80
0.8512054329371816,0.784074110574554,0.741887355464379,0.8313479623824451,0.9065388902320645,0.673658774663146,4,80
0.8638066933712366,0.7880128720836685,0.7632963179427236,0.81438370401164,0.9153387650695464,0.6886274247605068,0,60
0.8649050264892105,0.7888518630717966,0.760958503798948,0.8188679245283019,0.9119240668022766,0.6907299356627217,1,60
0.8675539475384416,0.7941353685479011,0.7703097603740503,0.8194818652849741,0.9151438624798814,0.6973693453598245,2,60
0.8649050264892105,0.7907116404764288,0.7695304889927918,0.8130918073281186,0.9123770818508958,0.6916565639846303,3,60
0.8685230649954775,0.7952922241223216,0.7701149425287356,0.822171381031614,0.9093643166210883,0.6994197098897176,4,60
0.8374016061063847,0.77908609700767,0.713353115727003,0.8581627796287482,0.8929540015953203,0.6591397293380266,0,40
0.845352627812674,0.7884259762863047,0.716913946587537,0.8757854035766071,0.8956760531783984,0.6767850670845879,1,40
0.834141687206806,0.778226663831597,0.7240356083086054,0.8411859342679844,0.8907044446741257,0.6515885281357946,2,40
0.8420131986960324,0.7862291554599247,0.7228486646884273,0.8617924528301887,0.8947253042904019,0.6689001952241301,3,40
0.840900055657152,0.783511846802986,0.7163204747774481,0.8646131805157593,0.8943509589148455,0.6667872112436662,4,40

