accuracy,f1_score,recall,precision,roc_auc,mcc,seed,num_samples_test,similarity
0.6431679721496953,0.3682588597842835,0.9192307692307692,0.2302504816955684,0.9166056465614857,0.335554853668846,0,2298,20
0.6031331592689295,0.3448275862068966,0.9230769230769231,0.21201413427561838,0.9127481693968447,0.3075457372135391,1,2298,20
0.5983463881636205,0.34306049822064055,0.926923076923077,0.21048034934497817,0.9133256586396921,0.3062202741711475,2,2298,20
0.556135770234987,0.3190921228304406,0.9192307692307692,0.19305331179321486,0.9013908809541783,0.272632519778378,3,2298,20
0.6383812010443864,0.3622409823484267,0.9076923076923077,0.22627037392138064,0.9108534007699857,0.32557693056675885,4,2298,20
0.8834080717488789,0.7440944881889764,0.756,0.7325581395348837,0.9361618497109827,0.6687641859072737,0,1115,40
0.8762331838565023,0.7335907335907336,0.76,0.7089552238805971,0.9368277456647398,0.6537795611656969,1,1115,40
0.8798206278026905,0.7362204724409449,0.748,0.7248062015503876,0.9369479768786129,0.6585659150789958,2,1115,40
0.8798206278026905,0.7362204724409449,0.748,0.7248062015503876,0.9382936416184972,0.6585659150789958,3,1115,40
0.874439461883408,0.7368421052631579,0.784,0.6950354609929078,0.9378774566473987,0.6568314866921925,4,1115,40
0.9241329479768786,0.8229342327150084,0.8808664259927798,0.7721518987341772,0.9693776721160713,0.7776460132012408,0,1384,60
0.9255780346820809,0.8263069139966274,0.8844765342960289,0.7753164556962026,0.9696092147443737,0.7819482392700218,1,1384,60
0.9219653179190751,0.8181818181818182,0.8772563176895307,0.7665615141955836,0.9690124217728338,0.7716246628856988,2,1384,60
0.9226878612716763,0.8201680672268907,0.8808664259927798,0.7672955974842768,0.9671568195826362,0.7742052695444629,3,1384,60
0.9263005780346821,0.8271186440677966,0.8808664259927798,0.7795527156549521,0.9697885787522136,0.7828606623952375,4,1384,60
0.9388696655132641,0.9270976616231087,0.9796511627906976,0.8798955613577023,0.9925352394503979,0.8784667512604962,0,867,80
0.9423298731257209,0.931129476584022,0.9825581395348837,0.8848167539267016,0.9926352883631997,0.8853415603347784,1,867,80
0.9354094579008074,0.9226519337016574,0.9709302325581395,0.8789473684210526,0.9916236826893148,0.870608185114546,2,867,80
0.9411764705882353,0.9294605809128631,0.9767441860465116,0.8865435356200527,0.9929799012850727,0.8822539698235716,3,867,80
0.9434832756632064,0.9322268326417704,0.9796511627906976,0.8891820580474934,0.9926519631820001,0.8870068790038486,4,867,80
