accuracy,f1_score,recall,precision,roc_auc,mcc,seed,num_samples_test,similarity
0.9181818181818182,0.8396946564885496,0.8776595744680851,0.8048780487804879,0.9588816992030416,0.7862320969039398,0,770,20
0.9116883116883117,0.8291457286432161,0.8776595744680851,0.7857142857142857,0.9542754258974921,0.7719892839189109,1,770,20
0.9051948051948052,0.8151898734177215,0.8563829787234043,0.7777777777777778,0.9536539445784895,0.7532080548332665,2,770,20
0.9103896103896104,0.8244274809160306,0.8617021276595744,0.7902439024390244,0.9555092491043358,0.7657124251849464,3,770,20
0.9168831168831169,0.8358974358974359,0.8670212765957447,0.806930693069307,0.9536082474226806,0.7812436585332408,4,770,20
0.9490084985835694,0.955,0.9845360824742269,0.9271844660194175,0.993289243337872,0.8984481368292274,0,353,40
0.9490084985835694,0.955,0.9845360824742269,0.9271844660194175,0.9928677948518446,0.8984481368292274,1,353,40
0.9490084985835694,0.955,0.9845360824742269,0.9271844660194175,0.9927381183946055,0.8984481368292274,2,353,40
0.9518413597733711,0.9573934837092731,0.9845360824742269,0.9317073170731708,0.9937431109382092,0.9039304956105791,3,353,40
0.9490084985835694,0.955,0.9845360824742269,0.9271844660194175,0.9931595668806328,0.8984481368292274,4,353,40
0.8587801882930822,0.7648261758691206,0.7314211212516297,0.8014285714285714,0.9115303712508518,0.6656367413088295,0,2443,60
0.8563241915677445,0.7604095563139932,0.7262059973924381,0.7979942693409742,0.9104265137394866,0.6596240108803058,1,2443,60
0.852640196479738,0.7564276048714479,0.7288135593220338,0.7862165963431786,0.9105323098082291,0.6519725007709549,2,2443,60
0.8620548505935326,0.7654836464857342,0.7170795306388527,0.8208955223880597,0.9106645548941572,0.6714691076259092,3,2443,60
0.8534588620548506,0.7503486750348675,0.7014341590612777,0.8065967016491754,0.9053490803521143,0.650516808118596,4,2443,60
0.9098128190584232,0.8118343195266272,0.8265060240963855,0.7976744186046512,0.9509664027027992,0.7527578008354311,0,3526,80
0.9061259217243335,0.8076699593259733,0.8373493975903614,0.7800224466891134,0.9517603053162202,0.7465037788753061,1,3526,80
0.9072603516732842,0.8063943161634103,0.8204819277108434,0.7927823050058207,0.9484575542526188,0.7456346420579082,2,3526,80
0.9089619965967102,0.81195079086116,0.8349397590361446,0.790193842645382,0.9518986182117193,0.7524511265851478,3,3526,80
0.9086783891094725,0.8094674556213017,0.8240963855421687,0.7953488372093023,0.9503613117157054,0.7496444073284955,4,3526,80
