accuracy,f1_score,recall,precision,roc_auc,mcc,seed,num_samples_test,similarity
0.9577368779822768,0.8923611111111112,0.8653198653198653,0.921146953405018,0.9762813318368875,0.866754756813841,0,1467,20
0.9604635310156783,0.8982456140350877,0.8619528619528619,0.9377289377289377,0.976583498805721,0.8749593746906693,1,1467,20
0.9631901840490797,0.9055944055944056,0.8720538720538721,0.9418181818181818,0.9759446315001871,0.8837828958676885,2,1467,20
0.9591002044989775,0.8961937716262975,0.8720538720538721,0.9217081850533808,0.9776310109643441,0.8712688329416179,3,1467,20
0.9597818677573279,0.8973913043478261,0.8686868686868687,0.9280575539568345,0.9761172983395205,0.8731519686190081,4,1467,20
0.9463087248322147,0.8773006134969326,0.910828025477707,0.8461538461538461,0.9786385891936392,0.843932595194196,0,745,40
0.9489932885906041,0.8834355828220859,0.9171974522292994,0.8520710059171598,0.9792018718315352,0.8517915210137964,1,745,40
0.9489932885906041,0.8834355828220859,0.9171974522292994,0.8520710059171598,0.9789852246631136,0.8517915210137964,2,745,40
0.9489932885906041,0.88125,0.8980891719745223,0.8650306748466258,0.9781294683478486,0.8490279398657145,3,745,40
0.9476510067114094,0.8814589665653495,0.9235668789808917,0.8430232558139535,0.9793968542831146,0.8494104026887433,4,745,40
0.7593537414965986,0.5008818342151675,0.6147186147186147,0.4226190476190476,0.8149110149110149,0.36007232095614206,0,1176,60
0.7406462585034014,0.4750430292598967,0.5974025974025974,0.3942857142857143,0.7997755331088663,0.32417622410760627,1,1176,60
0.7474489795918368,0.4940374787052811,0.6277056277056277,0.40730337078651685,0.8064454064454064,0.34972621102177426,2,1176,60
0.7559523809523809,0.48841354723707664,0.5930735930735931,0.41515151515151516,0.8122952884857646,0.34383616817685553,3,1176,60
0.7474489795918368,0.45504587155963305,0.5367965367965368,0.39490445859872614,0.8063033967795872,0.3015118396674381,4,1176,60
0.8920157068062827,0.7621335896203748,0.7516587677725118,0.7729044834307992,0.9261007307092619,0.6924174507996972,0,4584,80
0.8931064572425829,0.7648752399232246,0.7554502369668247,0.7745383867832848,0.928127539050172,0.6958099093749892,1,4584,80
0.8885253054101222,0.7539720751083293,0.7421800947867299,0.7661448140900196,0.928263447481195,0.6820763188642868,2,4584,80
0.8926701570680629,0.763915547024952,0.7545023696682465,0.7735665694849369,0.9273499601809785,0.6945677850693631,3,4584,80
0.893324607329843,0.7645642753972075,0.75260663507109,0.776908023483366,0.9240583439315946,0.695772920661619,4,4584,80
