accuracy,f1_score,recall,precision,roc_auc,mcc,seed,identity
0.8691452524147986,0.760427093760427,0.6992942620435717,0.83327239488117,0.8848470271367768,0.6762420632362841,0,60
0.8654091488973938,0.7570324066458299,0.7060447990181037,0.8159574468085107,0.8842197796341236,0.6679546208510092,1,60
0.8646801530891197,0.752376188094047,0.6922368824792882,0.8239590942293645,0.8802116557627842,0.6649839214922509,2,60
0.8648624020411882,0.7570843570843571,0.7091132249156182,0.8120168657765284,0.8849180006431167,0.6669959914836014,3,60
0.8666848915618736,0.7602032453696116,0.7115679656336299,0.8159746657283603,0.8891518119124526,0.6714837678561194,4,60
0.8336210203298811,0.7297928671546489,0.6862917398945518,0.7791819088792816,0.8842094871266756,0.6128616460317018,0,80
0.8386075949367089,0.7398361415983923,0.700937316930287,0.7833060556464811,0.8851221316677048,0.6253985270463398,1,80
0.8424434215573456,0.7449153858096569,0.7026947861745753,0.7925338619094814,0.8875534979083594,0.6339233343473896,2,80
0.8348676639815881,0.7327746741154563,0.6915641476274165,0.7792079207920792,0.8844140741865504,0.6161920622300452,3,80
0.8425393172228616,0.7443164123326067,0.700058582308143,0.7945478723404256,0.8858230062596375,0.633853746649929,4,80
0.7875828000449085,0.7136803874092009,0.7613819825637714,0.6716035317573341,0.861345469520501,0.5486084300550389,0,40
0.7806219827102279,0.7087928464977645,0.7678398450113013,0.6581787987821754,0.8572603435560592,0.5385686578291184,1,40
0.7928595486695857,0.7101335428122545,0.729738456570875,0.6915544675642595,0.8544609546632492,0.5496450388960309,2,40
0.7902773099809138,0.7141982864137086,0.7536325476267356,0.6786856644373365,0.8668748336211214,0.5511610064073689,3,40
0.7986976535309307,0.7194492254733219,0.7423312883435583,0.6979356405585914,0.8706918916035006,0.5633682563522391,4,40
