seed,fold,f1_macro,precision,roc_auc,accuracy,mcc,recall,identity
1,0,0.7261883245978673,0.8247126436781609,0.8690040942403313,0.8299090602896598,0.6145425045624364,0.6486922828543752,40
2,0,0.7431192660550459,0.8606034849128772,0.8825490161207586,0.8428202537330189,0.6453016068807834,0.6538585728123991,40
3,0,0.773490532332976,0.8656537385045981,0.9052222266065044,0.8576400583810486,0.6795536286720817,0.6990636099451082,40
4,0,0.7477617750097314,0.9412052915237629,0.9178938920958987,0.854496463455709,0.679460189398238,0.6202776880852438,40
5,0,0.7886051763071044,0.8533834586466166,0.9112492684886879,0.8633658919950601,0.6928721666651663,0.73296738779464,40
1,0,0.771295818275684,0.8781347962382445,0.8945344434287064,0.8788955713504647,0.7001374980744426,0.6876342436330163,60
2,0,0.7623687014766327,0.7564954682779457,0.9034951618102479,0.8577546929105158,0.6609159523164417,0.7683338447376495,60
3,0,0.7457937088514996,0.9230421004979629,0.8802210420040262,0.8733369783123747,0.6878564615806138,0.6256520405032219,60
4,0,0.6910695742471443,0.5988751406074241,0.8914220891267355,0.7831237470384546,0.5451690000007026,0.8168149739183799,60
5,0,0.7695218438252494,0.8755381604696674,0.9017900476809123,0.8778932021140878,0.6975430796506237,0.6864068732740104,60
1,0,0.7495133030499675,0.84,0.8924741946352504,0.8519370924434215,0.6537588976222538,0.6766256590509666,80
2,0,0.7450360217887894,0.9310496267018006,0.8939589646550066,0.860855389336402,0.6799174135625004,0.6209724663151728,80
3,0,0.7672385885399806,0.8574529667149059,0.894010790035963,0.862102032988109,0.6783548250251182,0.6942003514938488,80
4,0,0.7598445158019267,0.8981222532960448,0.8948928655368149,0.8637322593018796,0.683520054550972,0.658465143526655,80
5,0,0.7557619539043687,0.9154166666666667,0.9010247769587613,0.8638281549673955,0.6851520588688642,0.643526654950205,80
