accuracy,f1_score,recall,precision,roc_auc,mcc,seed,similarity
0.31581588229217394,0.3939183977618867,0.8362798701118481,0.25763755290496343,0.3860514901088555,-0.046758015507338824,0,80
0.31651687548885055,0.3946303812194054,0.8379173489495158,0.2580912650241926,0.3802993136092379,-0.04421225221337869,1,80
0.3174244772066528,0.39720314353112907,0.8458549582304127,0.25953996951297403,0.3863625880432353,-0.03648981711350039,2,80
0.3142220451292041,0.3897461488962139,0.8236796092253893,0.2552660777719481,0.3807743082797392,-0.05896297815451918,3,80
0.31658328537064095,0.3975986679501522,0.8482972995476118,0.25964813918125673,0.39186646425353755,-0.03620162206537427,4,80
0.7260566661741809,0.06297620898771575,0.03843234010248624,0.17426850258175558,0.47468036049008067,-0.03611098922583356,0,60
0.7257498096352953,0.06588472109317539,0.04037768077434048,0.1788942610889216,0.48305631386182546,-0.03396477172533064,1,60
0.7271590767027697,0.06299519925061473,0.03828999810210666,0.17755775577557756,0.4813129858157596,-0.033887945088382915,2,60
0.7266021889099774,0.06353161009031455,0.0387170241032454,0.1769297484822203,0.47885644556081164,-0.03449659449898935,3,60
0.7267044744229393,0.05612905758134788,0.03392484342379958,0.16246307657350603,0.4792365727095395,-0.041433387747485666,4,60
0.7109243697478992,0.20729554814669543,0.15923470924977404,0.29691011235955056,0.5027775292528445,0.05344906767214761,0,40
0.7144287502234936,0.1959323399113975,0.14658029526965954,0.29538554948391016,0.511800188694351,0.049826235768020304,1,40
0.7099588771678884,0.205037733999804,0.15757758360952093,0.29340813464235627,0.5030000079254848,0.050345917973675186,2,40
0.7098873591989987,0.19665313397366077,0.1495932509792106,0.28691129731291537,0.5175601654846886,0.04376201533563892,3,40
0.7108170927945646,0.19121912191219123,0.14401928291654112,0.28443915501338884,0.5178106800301925,0.040889922468432705,4,40
0.7884279899205272,0.10385878489326765,0.059403615872270485,0.41272430668841764,0.5535173706910586,0.08920684156102428,0,20
0.7877980228726498,0.1002671049928087,0.057290443766142285,0.40131578947368424,0.572188935791399,0.083919664492055,1,20
0.7886702849389416,0.09840810419681621,0.05588166236205682,0.4117647058823529,0.5719361101246067,0.08614461754702339,2,20
0.7867319247916262,0.10055180870631514,0.057760037567504106,0.38801261829652994,0.5665433728456502,0.07989871504425435,3,20
0.7883310719131614,0.09938144329896907,0.056586053064099556,0.4077834179357022,0.5707185985166977,0.08544707476141873,4,20
