accuracy,f1_score,recall,precision,roc_auc,mcc,seed,similarity
0.898198278157451,0.8134656041632786,0.7902053712480253,0.8381367292225201,0.9394925209113034,0.744155565634965,0,80
0.9020147332919144,0.8187787261982928,0.7879936808846761,0.8520669627605056,0.9408780349126832,0.752852686355103,1,80
0.8976657495340374,0.8096417368334159,0.7747235387045813,0.8478561549100968,0.9395689945298551,0.7412671428973292,2,80
0.902547261915328,0.8179708222811671,0.7794628751974724,0.860481339379142,0.9405479036440205,0.7533682002038172,3,80
0.8987308067808645,0.812612908523567,0.7816745655608215,0.8461012311901505,0.9388224505641539,0.7444733911215842,4,80
0.846656298600311,0.7743018464825271,0.7550595238095238,0.7945505793924209,0.915967818312687,0.6587881620451443,0,60
0.8436495593571799,0.7728231394998494,0.7633928571428571,0.7824893227577792,0.9185309173390914,0.6537761757638508,1,60
0.8444790046656299,0.7725894481503942,0.7583333333333333,0.7873918417799752,0.9164772985566542,0.6547539675774317,2,60
0.8475894245723172,0.7774076317383404,0.7639880952380952,0.7913070283600493,0.9213607133386369,0.6618222467250976,3,60
0.8464489372731986,0.7759794282256844,0.7633928571428571,0.788988003691172,0.9196960592112741,0.6594278535649094,4,60
0.9426386233269598,0.7794117647058824,0.7464788732394366,0.8153846153846154,0.9533217001121775,0.7474796383535297,0,40
0.9349904397705545,0.7571428571428571,0.7464788732394366,0.7681159420289855,0.9506419045244922,0.7197219973393495,1,40
0.9407265774378585,0.7737226277372263,0.7464788732394366,0.803030303030303,0.9524803689392995,0.7403243739191779,2,40
0.9426386233269598,0.7794117647058824,0.7464788732394366,0.8153846153846154,0.9503303003863892,0.7474796383535297,3,40
0.9407265774378585,0.7737226277372263,0.7464788732394366,0.803030303030303,0.9542876729402967,0.7403243739191779,4,40
0.7763794772507261,0.5428759894459103,0.8406537282941777,0.40087676570871894,0.904220475159417,0.4687774175340499,0,20
0.8184898354307841,0.5898651111921254,0.8263534218590398,0.45861678004535145,0.9111015165965639,0.5199929243744883,1,20
0.7946111648919006,0.561790017211704,0.8335035750766088,0.4236760124610592,0.9011886129117678,0.48922240437088943,2,20
0.8030009680542111,0.571127502634352,0.8304392236976507,0.4352248394004283,0.9090455025941397,0.4993614156652588,3,20
0.7902549209422395,0.5572207084468664,0.8355464759959143,0.4179867143587123,0.905088287257156,0.484345807690643,4,20
