similarity,mcc,accuracy,precision,recall,f1_score
20,0.0301660749528842,0.6287512100677638,0.173741362290227,0.3595505617977528,0.2342762063227953
40,-0.1377884480581176,0.6022944550669216,0.0636942675159235,0.1408450704225352,0.087719298245614
60,-0.3749717901872817,0.2978745463970969,0.1982667138309161,0.3336309523809523,0.2487242067894386
80,-0.3371654462684079,0.3063814680039052,0.1580882352941176,0.3396524486571879,0.2157551430005017
