Compound_Similarity,MCC,Accuracy,Precision,Recall,F1_Score,Enzyme_Identity
20.0,0.0301660749528842,0.6287512100677638,0.173741362290227,0.3595505617977528,0.2342762063227953,
40.0,-0.1377884480581176,0.6022944550669216,0.0636942675159235,0.1408450704225352,0.087719298245614,
60.0,-0.3749717901872817,0.2978745463970969,0.1982667138309161,0.3336309523809523,0.2487242067894386,
80.0,-0.3371654462684079,0.3063814680039052,0.1580882352941176,0.3396524486571879,0.2157551430005017,
,-0.1636673301626195,0.3197161488300729,0.2983782599167214,0.7975981253661394,0.4342902711323764,80.0
,-0.1760218251611558,0.3050847457627119,0.2608171760324241,0.7305922061982203,0.3844042621892153,60.0
,-0.1913502881422295,0.3326597058493319,0.3048663468128855,0.7181143041653213,0.4280215550423402,40.0
,-0.15371654565874332,0.30086410054988216,0.7957559681697612,0.2695417789757412,0.40268456375838924,20.0
