accuracy,f1_score,recall,precision,roc_auc,mcc,seed,similarity
0.9805825242718447,0.9705882352941176,0.9801980198019802,0.9611650485436893,0.9941450875856817,0.9561999555074318,0,20
0.9838187702265372,0.9753694581280788,0.9801980198019802,0.9705882352941176,0.9884805788271135,0.9633476208678344,1,20
0.9902912621359223,0.9850746268656716,0.9801980198019802,0.99,0.9888137852246763,0.9779072274440671,2,20
0.9870550161812298,0.9801980198019802,0.9801980198019802,0.9801980198019802,0.9930978674790555,0.9705826351865956,3,20
0.9902912621359223,0.9850746268656716,0.9801980198019802,0.99,0.9901942117288651,0.9779072274440671,4,20
0.8787878787878788,0.9354838709677419,1.0,0.8787878787878788,0.8362068965517241,0.0,0,40
0.8484848484848485,0.9180327868852459,0.9655172413793104,0.875,0.853448275862069,-0.06565321642986127,1,40
0.8787878787878788,0.9354838709677419,1.0,0.8787878787878788,0.8017241379310345,0.0,2,40
0.8787878787878788,0.9354838709677419,1.0,0.8787878787878788,0.8448275862068966,0.0,3,40
0.8787878787878788,0.9354838709677419,1.0,0.8787878787878788,0.8362068965517242,0.0,4,40
0.875,0.9025102159953299,0.9268585131894485,0.8794084186575654,0.9541235537466441,0.730659887560531,0,60
0.8682634730538922,0.8980301274623407,0.9292565947242206,0.8688340807174888,0.953254129763918,0.7157939854366494,1,60
0.8690119760479041,0.8989023685730791,0.9328537170263789,0.867335562987737,0.9541259422740692,0.71745064055714,2,60
0.8660179640718563,0.896231884057971,0.9268585131894485,0.867564534231201,0.9525877306123229,0.7108791895035408,3,60
0.875748502994012,0.9031505250875146,0.9280575539568345,0.8795454545454545,0.9549595383454192,0.7322696335193035,4,60
0.706199460916442,0.7207514944491887,0.9678899082568807,0.5741496598639456,0.9446831000230375,0.5210955320162999,0,80
0.7026055705300989,0.7178175618073316,0.9655963302752294,0.5712347354138398,0.9449338013090671,0.5148296051678338,1,80
0.701707097933513,0.717206132879046,0.9655963302752294,0.5704607046070461,0.9439716504275473,0.5136407289229625,2,80
0.7088948787061995,0.7221269296740995,0.9655963302752294,0.5767123287671233,0.9452759746859459,0.523167018607751,3,80
0.7070979335130279,0.7213675213675214,0.9678899082568807,0.5749318801089919,0.9454114888946107,0.5222835299104824,4,80
