similarity,mcc,accuracy,precision,recall,f1
20,0.0322001088316251,0.6116317120333185,0.2042776080314273,0.3726114649681528,0.2638849732168029
40,-0.1377884480581176,0.6022944550669216,0.0636942675159235,0.1408450704225352,0.087719298245614
60,-0.4267319305203251,0.2801549409963066,0.1995490417136415,0.2908450704225352,0.2366988251026841
80,-0.5100429354023922,0.2451346307651292,0.1516938519447929,0.2093869068236924,0.1759313154831199
