ID	NAME
CHEBI:28766	uroporphyrinogen I	
CHEBI:28855	enterobactin	
CHEBI:29669	pyochelin	
CHEBI:36163	ferroheme a	
CHEBI:36970	vitamin B6 phosphate	
CHEBI:65352	achromobactin free acid	
CHEBI:67183	pyochelin I	
CHEBI:67185	pyochelin II	
CHEBI:74252	rhizobactin 1021	
CHEBI:77805	enterobactin(1-)	
CHEBI:83125	desferricoprogen	
CHEBI:83199	desferrialbomycin delta1	
CHEBI:83200	desferrialbomycin delta2	
CHEBI:83201	desferrialbomycin epsilon	
CHEBI:84724	coelichelin(3-)	
CHEBI:90132	deferrichrome	
CHEBI:132309	S-butyryl-4'-phosphopantetheine	
CHEBI:132311	S-hexanoyl-4'-phosphopantetheine	
CHEBI:132312	S-octanoyl-4'-phosphopantetheine	
CHEBI:132313	S-decanoyl-4'-phosphopantetheine	
CHEBI:132316	S-dodecanoyl-4'-phosphopantetheine	
CHEBI:132319	S-tetradecanoyl-4'-phosphopantetheine	
CHEBI:132320	S-hexadecanoyl-4'-phosphopantetheine	
CHEBI:132321	S-choloyl-4'-phosphopantetheine	
CHEBI:132322	S-(3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-oyl)-4'-phosphopantetheine	
CHEBI:133861	desferricoprogen B	
CHEBI:196587	pseudomonine	
CHEBI:140785	R-cob(III)alamin	
CHEBI:142778	petrobactin(1+)	
CHEBI:1989	(6R)-5,10-methylenetetrahydrofolic acid	
CHEBI:9532	thiamine(1+) diphosphate	
CHEBI:15422	ATP	
CHEBI:15635	(6S)-5,6,7,8-tetrahydrofolic acid	
CHEBI:15636	(6R)-5,10-methylenetetrahydrofolate(2-)	
CHEBI:15852	aquacob(III)alamin	
CHEBI:16027	adenosine 5'-monophosphate	
CHEBI:16680	S-adenosyl-L-homocysteine	
CHEBI:16709	pyridoxine	
CHEBI:16856	glutathione	
CHEBI:17310	pyridoxal	
CHEBI:17401	myo-inositol hexakisphosphate	
CHEBI:17594	hydroquinone	
CHEBI:18067	phylloquinone	
CHEBI:18157	aerobactin	
CHEBI:18335	pyridoxamine 5'-phosphate	
CHEBI:27786	hydroxocobalamin	
CHEBI:27956	L-dehydroascorbic acid	
CHEBI:28803	pyridoxine 5'-phosphate	
CHEBI:28911	cob(III)alamin	
CHEBI:29707	yersiniabactin	
CHEBI:33440	(R)-S-adenosyl-L-methionine	
CHEBI:33442	(S)-S-adenosyl-L-methionine	
CHEBI:38290	L-ascorbate	
CHEBI:50437	desferrioxamine E	
CHEBI:57586	biotinate	
CHEBI:57692	FAD(3-)	
CHEBI:57986	riboflavin(1-)	
CHEBI:58937	thiamine(1+) diphosphate(3-)	
CHEBI:61345	chrysobactin	
CHEBI:66065	IC202A	
CHEBI:66067	IC202C	
CHEBI:80049	coelichelin	
CHEBI:83198	desferrialbomycins	
CHEBI:84046	pyoverdine	
CHEBI:84582	schizokinen	
CHEBI:84585	vibrioferrin	
CHEBI:84711	staphyloferrin A	
CHEBI:84731	rhodotorulic acid	
CHEBI:131529	pyridoxal hydrochloride	
CHEBI:134612	staphyloferrin B	
CHEBI:157682	vanchrobactin	
CHEBI:171659	quinolobactin	
CHEBI:209443	bisucaberin B	
CHEBI:597326	pyridoxal 5'-phosphate(2-)	
CHEBI:17015	riboflavin	
CHEBI:44245	menaquinone-7	
CHEBI:46905	(R)-pantothenic acid	
CHEBI:113451	sodium ascorbate	
CHEBI:140376	cefiderocol	
CHEBI:16240	hydrogen peroxide	
CHEBI:17154	nicotinamide	
