accuracy,f1_score,recall,precision,roc_auc,mcc,seed,similarity
0.9464627151051626,0.7704918032786885,0.6619718309859155,0.9215686274509803,0.9307615605135237,0.7541136452739817,0,40
0.9426386233269598,0.75,0.6338028169014085,0.9183673469387755,0.9263367817524616,0.7346131840543492,1,40
0.9445506692160612,0.7603305785123967,0.647887323943662,0.92,0.9265860650629439,0.7444051078825027,2,40
0.9388145315487572,0.7333333333333333,0.6197183098591549,0.8979591836734694,0.9277078399601147,0.7154566874817313,3,40
0.9483747609942639,0.7768595041322314,0.6619718309859155,0.94,0.924778761061947,0.7633891078543453,4,40
0.9407265774378585,0.7559055118110236,0.676056338028169,0.8571428571428571,0.9415119032780755,0.7293022319021726,0,40
0.9426386233269598,0.7619047619047619,0.676056338028169,0.8727272727272727,0.9434438489343139,0.7375860797489299,1,40
0.9445506692160612,0.7751937984496124,0.704225352112676,0.8620689655172413,0.9481179110058582,0.7488848725162688,2,40
0.9388145315487572,0.746031746031746,0.6619718309859155,0.8545454545454545,0.950953508662595,0.7193891119811724,3,40
0.9388145315487572,0.75,0.676056338028169,0.8421052631578947,0.9314470896173501,0.7212199296526617,4,40
