accuracy,f1_score,recall,precision,roc_auc,mcc,seed,num_samples_test,similarity
0.9838187702265372,0.9753694581280788,0.9801980198019802,0.9705882352941176,0.9887185833968011,0.9633476208678344,0,309,20
0.9838187702265372,0.9753694581280788,0.9801980198019802,0.9705882352941176,0.9858149276466108,0.9633476208678344,1,309,20
0.9870550161812298,0.9801980198019802,0.9801980198019802,0.9801980198019802,0.988528179741051,0.9705826351865956,2,309,20
0.9902912621359223,0.9850746268656716,0.9801980198019802,0.99,0.988861386138614,0.9779072274440671,3,309,20
0.9902912621359223,0.9850746268656716,0.9801980198019802,0.99,0.9892897943640517,0.9779072274440671,4,309,20
0.8524590163934426,0.7942857142857143,0.7679558011049724,0.8224852071005917,0.9064372739215721,0.6804519892174299,0,488,40
0.8504098360655737,0.7884057971014493,0.7513812154696132,0.8292682926829268,0.9095146399841634,0.6751088177941249,1,488,40
0.8586065573770492,0.8,0.7624309392265194,0.8414634146341463,0.9092806881782354,0.693070496078038,2,488,40
0.8647540983606558,0.8070175438596491,0.7624309392265194,0.8571428571428571,0.9109903359907859,0.7063210980204168,3,488,40
0.8483606557377049,0.7848837209302325,0.7458563535911602,0.8282208588957055,0.9005524861878453,0.6704755144883082,4,488,40
0.875,0.9025102159953299,0.9268585131894485,0.8794084186575654,0.9541235537466441,0.730659887560531,0,1336,60
0.8682634730538922,0.8980301274623407,0.9292565947242206,0.8688340807174888,0.9543432982697508,0.7157939854366494,1,1336,60
0.8690119760479041,0.8989023685730791,0.9328537170263789,0.867335562987737,0.9541259422740692,0.71745064055714,2,1336,60
0.8660179640718563,0.896231884057971,0.9268585131894485,0.867564534231201,0.9525877306123229,0.7108791895035408,3,1336,60
0.8779940119760479,0.9048453006421483,0.9292565947242206,0.8816837315130831,0.9543098588857998,0.7371754068120436,4,1336,60
0.6990116801437556,0.7163420829805249,0.9701834862385321,0.5677852348993289,0.9448253899421355,0.5131575932466536,0,1113,80
0.7035040431266847,0.7184300341296929,0.9655963302752294,0.5720108695652174,0.9458993400458038,0.5160190085615014,1,1113,80
0.6936208445642408,0.7117497886728656,0.9655963302752294,0.5635876840696118,0.9455402273928422,0.5029630240438178,2,1113,80
0.7044025157232704,0.7190435525192144,0.9655963302752294,0.5727891156462585,0.945380998197661,0.5172089483972647,3,1113,80
0.6972147349505841,0.7146486028789162,0.9678899082568807,0.5664429530201343,0.945380998197661,0.5092450825342667,4,1113,80
