accuracy,f1_score,recall,precision,roc_auc,mcc,seed,similarity
0.8955356350403835,0.810253103337095,0.7939968404423381,0.8271889400921659,0.9427245549730666,0.7385179314635995,0,80
0.8997071092571226,0.8170336787564767,0.7971563981042654,0.8379275988043839,0.9410557259085679,0.7484549545816966,1,80
0.8966894470577793,0.8099281515349445,0.7835703001579779,0.8381209868198716,0.9403398337858966,0.7398950547447487,2,80
0.9015709594390698,0.8186426819296811,0.7908372827804108,0.8484745762711864,0.9438224252159376,0.7520888282288106,3,80
0.9022809976036212,0.8219311014070839,0.8028436018957346,0.841948310139165,0.9442596624475537,0.7550534434376268,4,80
0.8445826853291861,0.7752286699655121,0.7693452380952381,0.781202780296162,0.9165576107133386,0.6565138255961241,0,60
0.8433385173665111,0.7733613319334033,0.7672619047619048,0.7795585122467493,0.9125916060537183,0.6537189974120594,1,60
0.8463452566096423,0.7766726943942134,0.7669642857142858,0.7866300366300366,0.9187136322309354,0.6597069944229307,2,60
0.8410575427682737,0.7698543762197868,0.763095238095238,0.7767343229324447,0.9133162859415843,0.6485409920362182,3,60
0.8498703991705547,0.7826478534974483,0.7758928571428572,0.7895215021199273,0.9159479533659127,0.6680543829499381,4,60
0.9028146574614976,0.8297674418604651,0.7831431079894644,0.8822947576656776,0.9546951643181348,0.7647513258927264,0,40
0.9054699946893255,0.8354898336414048,0.7936786654960492,0.8819512195121951,0.9535080592469702,0.7715347644460407,1,40
0.9038767923526287,0.8314711359404097,0.7840210711150132,0.8850346878097126,0.9546617435672575,0.7673260957059913,2,40
0.8998937865108869,0.8260267651130595,0.7857769973661106,0.8706225680933852,0.9538208774751825,0.7579733452634578,3,40
0.9038767923526287,0.8333333333333334,0.7945566286215979,0.8760890609874153,0.9547406165393278,0.7678260563334202,4,40
0.7896095514682155,0.5549488054607509,0.8304392236976507,0.4167093798052281,0.9008517828215088,0.4808871472243517,0,20
0.7681510164569216,0.5335929892891919,0.839632277834525,0.3910561370123692,0.8949622470422659,0.4578770555916206,1,20
0.7918683446272992,0.5597269624573379,0.8375893769152196,0.4202972834443875,0.9037453705434355,0.4875551358817029,2,20
0.7657308809293321,0.5288773523685918,0.832482124616956,0.38754160722776987,0.8919585681374391,0.4511358753381542,3,20
0.7904162633107454,0.5580129295678802,0.8375893769152196,0.41836734693877553,0.9017041332242273,0.48559821119088276,4,20
