seed,fold,f1_macro,precision,roc_auc,accuracy,mcc,recall,similarity
0,0,0.8871926866069052,0.9098853085745494,0.959246440782662,0.9152892561983471,0.8200946691632579,0.8656044336681676,80
1,0,0.8642619411711793,0.8991203443758188,0.9500997109994705,0.8994268195147961,0.7860625951073845,0.8320055420852096,80
2,0,0.8772585669781932,0.90239882805347,0.9581895679853012,0.9080911756864836,0.8046906519556118,0.8534811222722549,80
3,0,0.889172438935472,0.9384378607156598,0.9593968141266132,0.9189549453479072,0.8284030667598686,0.8448216141323173,80
4,0,0.87611175994969,0.9102109389583722,0.9598091117915295,0.9080911756864836,0.8046485315749752,0.8444752338067197,80
0,0,0.8176936844796727,0.8978102189781022,0.9303580043825787,0.8715431042248446,0.7266114824094407,0.7507042253521127,60
1,0,0.8138817480719794,0.8994318181818182,0.932460163210908,0.8695613007837132,0.722583556863828,0.7431924882629108,60
2,0,0.8005161290322581,0.8888252148997134,0.9013002931098261,0.8607332672732186,0.7033088712317462,0.7281690140845071,60
3,0,0.8112923462986198,0.8714285714285714,0.9216968869691373,0.8645167102062877,0.7105051605129575,0.7589201877934272,60
4,0,0.7982073944976971,0.849721706864564,0.9189392114515285,0.8539771191784524,0.687556611451278,0.7525821596244131,60
0,0,0.7608695652173914,0.9545454545454546,0.9045320792507268,0.8594082840236686,0.6953432318972185,0.6325301204819277,40
1,0,0.7564560985299961,0.9305962854349951,0.9173297608841322,0.8549112426035503,0.682155851408287,0.6372155287817939,40
2,0,0.7728706624605679,0.9404990403071017,0.9049680964796573,0.8636686390532544,0.7023644119279399,0.6559571619812584,40
3,0,0.765596160944998,0.8534979423868313,0.9199519915374912,0.8497041420118343,0.6643066190902348,0.6941097724230254,40
4,0,0.8152091254752851,0.9436619718309859,0.9336158254401717,0.8849704142011834,0.7484476584292794,0.7175368139223561,40
0,0,0.5397301349325336,0.4329004329004329,0.8562875515979491,0.7716793098319202,0.42242496477035657,0.7165605095541401,20
1,0,0.6120923913043478,0.5337677725118484,0.87981202210367,0.8301353562397739,0.5153978945523313,0.7173566878980892,20
2,0,0.45781556572923476,0.3152206544581207,0.8103894065027105,0.6300758589915216,0.3264493349181411,0.8359872611464968,20
3,0,0.5442462399440364,0.48533998752339363,0.8473779853411145,0.806187713818236,0.42854553270408435,0.6194267515923567,20
4,0,0.4940357852882704,0.3591040462427746,0.827292067401514,0.6971590063959542,0.36978150825326384,0.7914012738853503,20
