accuracy,f1_score,recall,precision,roc_auc,mcc,seed,identity
0.8259422750424448,0.7477610471410295,0.7085042894442373,0.7916232548447594,0.8870517958125028,0.6177163230479877,0,80
0.8216638370118845,0.7422457793482529,0.7051473330846699,0.7834645669291339,0.8823685215994787,0.6084571274336609,1,80
0.8222750424448217,0.743003044289502,0.705520328235733,0.7846919726197884,0.8836420950782687,0.6097679745830792,2,80
0.8279796264855688,0.7494807635248738,0.7066393136889221,0.7978521794061908,0.8844474526797508,0.6218795153876882,3,80
0.8251273344651953,0.7473260720243353,0.7101827676240209,0.7885690619175812,0.8837996410115878,0.6161487682706168,4,80
0.860705517508722,0.7582417582417582,0.6586791350087668,0.8932628797886394,0.8579840430154789,0.6787110389677196,0,60
0.8612223801524744,0.7595701813297515,0.6610169491525424,0.8926598263614838,0.8584713983580499,0.679879058783851,1,60
0.8600594392040315,0.7578806170355467,0.6604324956165984,0.8890637293469709,0.8573331122447394,0.6769345552993773,2,60
0.8609639488305982,0.7584193982936686,0.6580946814728229,0.8948344370860927,0.8560061381274531,0.6794200647092349,3,60
0.8619330662876341,0.7595364014853155,0.657510227936879,0.8990410229088972,0.8552468193326721,0.6819765386864067,4,60
0.8252365428957621,0.7691176470588236,0.7242334322453017,0.8199328107502799,0.8954342566782674,0.6325310655722238,0,40
0.8239643794227558,0.7687003760969494,0.7277942631058358,0.8144786362630064,0.8926079938017621,0.6299247290206926,1,40
0.8261906655005168,0.7700399747527877,0.7240356083086054,0.8222871264884296,0.897613239213112,0.6345482721848482,2,40
0.8284169515782778,0.7733193277310924,0.7281899109792285,0.8244120940649496,0.8952590765077895,0.6393091208984523,3,40
0.8257931144152023,0.7715566677093109,0.731948565776459,0.8156966490299824,0.8970920906981459,0.6338593975436068,4,40
