accuracy,f1_score,recall,precision,roc_auc,mcc,seed,similarity
0.63,0.35294117647058826,0.74,0.23173277661795408,0.7887508771929824,0.24407037989291755,0,20
0.6509090909090909,0.38064516129032255,0.7866666666666666,0.251063829787234,0.8077824561403509,0.2886875517867509,1,20
0.5936363636363636,0.3397341211225997,0.7666666666666667,0.21821631878557876,0.7908421052631579,0.22874213271163202,2,20
0.6209090909090909,0.3554868624420402,0.7666666666666667,0.23138832997987926,0.8067929824561403,0.2513861051530406,3,20
0.6518181818181819,0.3627287853577371,0.7266666666666667,0.24168514412416853,0.8023157894736843,0.2558398803371988,4,20
0.9795918367346939,0.0,0.0,0.0,1.0,0.0,0,40
1.0,1.0,1.0,1.0,1.0,1.0,1,40
1.0,1.0,1.0,1.0,1.0,1.0,2,40
0.9795918367346939,0.0,0.0,0.0,1.0,0.0,3,40
0.9795918367346939,0.0,0.0,0.0,1.0,0.0,4,40
0.8658606793321819,0.6409861325115562,0.5925925925925926,0.697986577181208,0.8963258963258963,0.562016133237992,0,60
0.8566493955094991,0.6244343891402715,0.5897435897435898,0.6634615384615384,0.8809194920306032,0.5376525944127994,1,60
0.8606793321819228,0.6265432098765432,0.5783475783475783,0.6835016835016835,0.8860439971551082,0.5444951323644243,2,60
0.853195164075993,0.6188340807174888,0.5897435897435898,0.6509433962264151,0.8860460527127193,0.5291860868699194,3,60
0.8675877950489349,0.6439628482972136,0.5925925925925926,0.7050847457627119,0.8883256661034439,0.5665934470174386,4,60
0.6554545454545454,0.36515912897822445,0.7266666666666667,0.24384787472035793,0.8028000000000001,0.2591356757123344,0,20
0.6654545454545454,0.38047138047138046,0.7533333333333333,0.2545045045045045,0.8019368421052631,0.283220689825587,1,20
0.5872727272727273,0.3362573099415205,0.7666666666666667,0.2153558052434457,0.7884280701754386,0.2235793577510945,2,20
0.6254545454545455,0.3622291021671827,0.78,0.23588709677419356,0.8061684210526315,0.2628046769929369,3,20
0.6318181818181818,0.37596302003081666,0.8133333333333334,0.24448897795591182,0.8075508771929825,0.28709510137052285,4,20
