seed,fold,f1_macro,precision,roc_auc,accuracy,mcc,recall
0,0,0.7942055644975856,0.9210666666666667,0.9119266521949339,0.876098844050668,0.7218832984604656,0.6980598221503638
0,1,0.7812533824006926,0.9102143757881462,0.9057069933303044,0.8631129775128692,0.6992801472053778,0.6843003412969283
0,2,0.7795151642354916,0.8205921343349536,0.8977210208024013,0.8581651252278404,0.6771998355112977,0.7423545872476514
0,3,0.796540449319692,0.8192666522022131,0.9036414838325176,0.8684533551554828,0.7000453413424207,0.7750410509031199
0,4,0.7991380288079847,0.9093959731543624,0.8910736052842176,0.8782148260211801,0.7244954564482765,0.7127250657495449
1,0,0.7716070414537195,0.8807363235675395,0.8974336255282116,0.8608015504949125,0.6845090141845934,0.6865400161681487
1,1,0.77797513321492,0.8664184314638119,0.8983481204693042,0.8560688160390139,0.6808622616314978,0.7059158134243458
1,2,0.7902396323448955,0.8730657640232108,0.9005694137034598,0.8705866468642409,0.7044885100437083,0.7217669398360983
1,3,0.7808862568919747,0.7769199512393336,0.9038338994601671,0.8536552100381888,0.6710505355421588,0.7848932676518884
1,4,0.7780705310093231,0.779492385786802,0.8998683333580272,0.8494017329115665,0.664106108782653,0.7766538539348574
2,0,0.7784365393061046,0.8521634615384616,0.9071276000375481,0.8603170208347753,0.6829917050074666,0.7164510913500404
2,1,0.7664618086040386,0.9098488796248045,0.883945278206347,0.8558656190734218,0.6835277059344224,0.6621160409556314
2,2,0.792287467134093,0.8766060606060606,0.9097991459966018,0.8720043205292648,0.7078393969468186,0.7227663401958825
2,3,0.7800021879444263,0.8350901850550481,0.8875349259675135,0.862861429350791,0.6841488986992423,0.7317323481116584
2,4,0.7870060281312792,0.8779576587795765,0.9006890132045373,0.8687938385366525,0.7014964072287457,0.7131296783329961
3,0,0.7631264267855201,0.8256880733944955,0.8966133141019907,0.8491728386516232,0.6574712919583807,0.7093775262732417
3,1,0.7770914040414617,0.867664250642974,0.8949446516361752,0.8557978867515579,0.6802882178645577,0.7036405005688282
3,2,0.7456222933534173,0.7047517351841964,0.8976919964229414,0.8175926551002498,0.6066607550304393,0.7915250849490306
3,3,0.7953012834457254,0.8459046737621472,0.8984556630961772,0.871658483360611,0.7049868908387332,0.7504105090311987
3,4,0.783982683982684,0.8429136606935071,0.8915117915652122,0.8627424013203135,0.6877205022464812,0.7327533886303864
4,0,0.7966313872766587,0.9116957541026309,0.9078980615157295,0.8763064996192981,0.721577503974636,0.7073565076798707
4,1,0.7637182637182637,0.8299955496217178,0.8822919801016018,0.843673801137903,0.6526599210892319,0.7072430792567311
4,2,0.7745274052170239,0.8210927004030453,0.9109036107387556,0.8558698440558968,0.6714382393643213,0.7329602238656806
4,3,0.8102508178844057,0.8643555141926478,0.9002338333561393,0.881342062193126,0.727436046318999,0.7625205254515599
4,4,0.7806650517507158,0.8564870741725055,0.8987729414207264,0.863017466648329,0.6878879748460437,0.7171758041675096
