accuracy,f1_score,recall,precision,roc_auc,mcc,seed,fold
0.8056529516994634,0.7385948026948989,0.8044025157232705,0.6827402135231316,0.8956796449837559,0.5905546136512473,0,0
0.827123592381482,0.7554331792703315,0.7510754790770434,0.7598417408506429,0.8920729034611378,0.6217770579714267,0,1
0.8348103018554417,0.7660325554030202,0.8051948051948052,0.7305030858425285,0.9030178974855897,0.6406450037275783,0,2
0.8255200911940724,0.7598313229381192,0.8343743269437863,0.6975153042851998,0.9028627845936477,0.630716038735333,0,3
0.8458820135583441,0.7767679933145306,0.7865453776179395,0.76723070573669,0.8957970028416401,0.6592318534129468,0,4
0.8125939177101967,0.7468831545375471,0.810062893081761,0.692845615922539,0.8987194089439587,0.604150876779434,1,0
0.8353260113999722,0.7640203207490786,0.7499022291748142,0.7786802030456853,0.8981347051673947,0.6378944585842511,1,1
0.8361257269454445,0.7686895338610378,0.8107606679035251,0.7307692307692307,0.9044833978118666,0.6444126322275123,1,2
0.8303647762895412,0.7620665534126112,0.8212362696532415,0.7108501118568232,0.9046206615339614,0.6352963044034445,1,3
0.8474686282994375,0.7792966711885632,0.7899301882800931,0.7689456342668863,0.8972049409291234,0.6629338176474725,1,4
0.8085867620751341,0.7432082173370451,0.8115303983228511,0.6854967239242076,0.8986349821273416,0.5977175079850438,2,0
0.8249687195884888,0.7538130621822449,0.7538130621822449,0.7538130621822449,0.8961096617483751,0.6180279025618824,2,1
0.8309332594849073,0.7591715976331361,0.7934446505875077,0.7277368122518435,0.901884733815755,0.6306874851383991,2,2
0.823311484753491,0.7548438117833135,0.8223131595950893,0.6976064315731774,0.901664906473834,0.623286511068905,2,3
0.8498485504110774,0.7807959570435882,0.7844298709540936,0.7771955564871096,0.8950732537295729,0.6666339330032957,2,4
0.8053667262969588,0.7391637897967012,0.8079664570230608,0.6811594202898551,0.8967337617305335,0.5911500886784726,3,0
0.8283052968163492,0.756217923410975,0.7491200625733281,0.7634515743324033,0.8982753825378438,0.6237922652531181,3,1
0.8304486291885904,0.7614687834810558,0.8058132343846629,0.7217503692762186,0.9002726146923553,0.6328703110656928,3,2
0.8255200911940724,0.756051399541787,0.8173594658625889,0.7032987398072647,0.9036958064853194,0.6256836421895977,3,3
0.8498485504110774,0.7820808038517898,0.7903532896128623,0.7739796975347006,0.8988797305410714,0.6676510063199051,3,4
0.8094454382826476,0.7422321169296293,0.8037735849056604,0.6894443445423485,0.8955803005612891,0.5968780221483851,4,0
0.8285833449186709,0.7589442815249267,0.7590926867422761,0.7587959343236904,0.8998035051051724,0.6259489563350981,4,1
0.8339795070617557,0.7649480494020781,0.8043702329416615,0.729209493552607,0.9053333914393318,0.6389243889585058,4,2
0.8235252208606441,0.7573234055060253,0.8324359250484601,0.6946441409058232,0.9057543596272184,0.6267106597410613,4,3
0.8533102553007356,0.786029875867873,0.7903532896128623,0.7817535049173467,0.9009582580836185,0.6744595040701824,4,4
